pl_rade,pl_bmasse,pl_orbper,pl_orbsmax,pl_eqt,pl_dens,st_teff,st_lum,st_met,star_F,star_G,star_K,target,habitability_score,habitability_rank
1.13,195.89164,0.669310092,0.0149,811.0,1.338589,5475.0,0.00432,0.34,False,True,False,1,0.8901801598389926,127
1.65,195.89164,0.571038347,0.0126,811.0,1.338589,5132.0,0.00432,0.16,False,False,True,1,0.8901585432523541,128
1.21,195.89164,0.669309686,0.0152,811.0,1.338589,5626.0,0.00432,0.355,False,True,False,1,0.8893907171694193,129
1.161,195.89164,0.669309686,0.01531,811.0,1.338589,5556.0,0.00432,0.355,False,True,False,1,0.8893907171694193,130
0.749,195.89164,0.971915428,0.01835,811.0,1.338589,5224.0,0.00432,0.13,False,True,False,0,0.8884096163680366,131
1.33,195.89164,0.63642408,0.0144,811.0,1.338589,5343.0,0.00432,0.355,False,True,False,1,0.8881607271829698,132
1.31,195.89164,0.636424848,0.0144,811.0,1.338589,5343.0,0.00432,0.355,False,True,False,1,0.8881607271829698,133
1.202,195.89164,0.63642408,0.01416,811.0,1.338589,5200.0,0.00432,0.355,False,True,False,1,0.886089010294452,134
1.87,195.89164,0.571282,0.0935,811.0,1.338589,5496.0,0.00432,0.06,False,True,False,0,0.8860850369971284,135
1.62377492,195.89164,0.959665,0.0935,811.0,1.338589,5366.0,0.00432,-0.01,False,True,False,1,0.885534183297171,136
1.3,195.89164,0.877214,0.0935,811.0,1.338589,5820.0,0.00432,-0.01,False,True,False,1,0.8826622979332734,137
1.40575209,195.89164,0.877183,0.0935,811.0,1.338589,5705.0,0.00432,-0.01,False,True,False,1,0.8826622979332734,138
1.66855539,195.89164,0.571299,0.0935,811.0,1.338589,5590.0,0.00432,0.08,False,True,False,1,0.8821306726952652,139
0.97,195.89164,4.73292061,0.0529,811.0,1.338589,5595.0,0.00432,-0.24,False,True,False,1,0.8820788684600488,140
1.56,195.89164,0.626281378,0.01344,811.0,1.338589,4958.0,0.00432,0.13,False,False,True,1,0.8811829996924263,141
1.42,195.89164,0.524176094,0.0126,811.0,1.338589,5396.0,0.00432,0.355,False,True,False,1,0.8799105578445923,142
1.18,195.89164,6.98803345,0.0686,811.0,1.338589,5627.0,0.00432,-0.24,False,True,False,1,0.879888407443363,143
2.59929571,195.89164,0.469269,0.0935,811.0,1.338589,5482.0,0.00432,0.09,False,True,False,0,0.8793705510951444,144
