,pl_rad,pl_mass,pl_orbper,pl_sma,pl_ecc,st_temp,st_met,st_rad,st_age,st_mass,habitability_score,habitable
5066,2.91,1112.399425,91.68278,0.387,0.21,5592.0,0.06,1.031,9.225,0.93,-7.182289359351844,0
5067,2.104,176.0769375,4.1782745,0.0355,0.09,3442.0,0.02,0.404,0.21,0.4,-4.007091587292381,1
5068,2.884,176.0769375,17.945466,0.11415,0.0,3442.0,0.02,0.404,0.21,0.4,-4.229296696491777,1
5069,7.777125000000002,176.0769375,27.36397,0.0886,0.09,3442.0,0.02,0.56,0.011,0.2749999999999999,-5.70106584887519,1
5070,3.65,15.4,24.245586,0.1288,0.087,3553.0,0.041,0.476,4.17,0.485,-4.611066349169519,1
5071,1.69,6.69,3.444714,0.11415,0.049,3997.0,0.33,0.619,5.3,0.63,-4.64193002982511,1
5072,1.21,3.76,0.764597,0.0139,0.25,4089.0,0.31,0.58,0.8,0.59,-4.640741981827433,1
5073,2.11,8.32,3.294736,0.037,0.15,4089.0,0.31,0.58,0.8,0.59,-4.9072777481657175,1
5074,2.467,176.0769375,6.400316483,0.060694,0.09,4599.0,0.02,0.721,4.17,0.73,-5.7191577675431775,1
5075,3.01,8.1,4.30744,0.049,0.09,5151.0,0.17,0.86,4.17,0.87,-6.650478146263528,0
5076,2.45109846,9.1,5.904137,0.061,0.0,5213.0,0.168,0.8649,6.3,0.8889,-6.567119193472448,0
5077,3.43139739,5.4,18.654874,0.132,0.0,5213.0,0.168,0.8649,6.3,0.8889,-6.850561227884491,0
5078,3.5141875,14.5,37.92548,0.212,0.0,5213.0,0.168,0.8649,6.3,0.8889,-6.863400914869891,0
5079,6.8084859,27.4,4.3601561,0.051,0.0,5205.0,0.223,0.8686,5.5,0.9042,-7.864723982613163,0
5080,3.2710301,11.9,13.079151,0.109,0.0,5497.0,0.297,0.9785,4.0,1.0062,-7.200344722308134,0
5081,2.726,9.5,4.65382,0.05186,0.194,5320.0,-0.02,0.848,6.8,0.859,-6.799571463365727,0
5082,2.759,6.63,9.15059,0.0814,0.066,5320.0,-0.02,0.848,6.8,0.859,-6.805041443349836,0
5083,2.93,13.6,19.98,0.137,0.168,5320.0,-0.02,0.848,6.8,0.859,-6.848003287869689,0
