pl_name,predicted_class,habitability_probability,habitability_score,actual_label,pl_rade,pl_eqt,pl_insol,st_teff,pl_orbeccen,rank
Kepler-1362 b,1,0.9999022196147452,99.99022196147452,1,2.43,251.0,0.94,4650.0,0.0,85
Kepler-1362 b,1,0.9999022196147452,99.99022196147452,1,2.35,248.0,0.89,4648.0,0.0,86
Kepler-1362 b,1,0.9999022196147452,99.99022196147452,1,2.43,251.0,0.94,4650.0,0.0,87
TOI-2257 b,1,0.9999022196147452,99.99022196147452,1,2.22536959,230.78,0.6703,3446.0,0.0,88
Kepler-1362 b,1,0.9999022196147452,99.99022196147452,1,2.43,251.0,0.94,4650.0,0.0,89
Kepler-62 f,1,0.9999022196147452,99.99022196147452,1,1.42,205.0,0.41,4797.0,0.0,90
Kepler-22 b,1,0.9999022196147452,99.99022196147452,1,2.34,257.0,1.03,5516.0,0.0,91
Kepler-62 f,1,0.9999022196147452,99.99022196147452,1,1.43,207.0,0.44,4926.0,0.0,92
Kepler-1540 b,1,0.9999022196147452,99.99022196147452,1,2.3,238.0,0.75,4366.0,0.0,93
Kepler-425 b,0,0.0,0.0,0,9.94,972.0,211.29,5262.0,0.0,94
Kepler-428 b,0,0.0,0.0,0,11.87,955.0,196.91,5071.0,0.0,95
Kepler-426 b,0,0.0,0.0,0,11.38,1185.0,464.73,5720.0,0.0,96
Kepler-426 b,0,0.0,0.0,0,11.68,1200.0,489.84,5866.0,0.0,97
Kepler-426 b,0,0.0,0.0,0,10.55297726,1136.3,393.991,5549.0,0.0,98
Kepler-426 b,0,0.0,0.0,0,11.68,1200.0,489.84,5866.0,0.0,99
Kepler-426 b,0,0.0,0.0,0,11.68,1200.0,489.84,5866.0,0.0,100
Kepler-428 b,0,0.0,0.0,0,11.58,975.0,213.12,5150.0,0.0,101
Kepler-43 b,0,0.0,0.0,0,12.14,1489.0,1162.54,6063.0,0.0,102
Kepler-43 b,0,0.0,0.0,0,12.08990794,1509.61,1227.3844,6041.0,0.0,103
Kepler-425 b,0,0.0,0.0,0,10.07,982.0,219.64,5167.0,0.0,104
Kepler-425 b,0,0.0,0.0,0,9.94,972.0,211.29,5262.0,0.0,105
Kepler-425 b,0,0.0,0.0,0,9.94,972.0,211.29,5262.0,0.0,106
Kepler-428 b,0,0.0,0.0,0,11.87,955.0,196.91,5071.0,0.0,107
Kepler-424 b,0,0.0,0.0,0,10.96253267,1198.25,487.2034,5355.0,0.0,108
Kepler-424 b,0,0.0,0.0,0,9.13,1158.0,424.48,5523.0,0.0,109
Kepler-424 b,0,0.0,0.0,0,9.13,1158.0,424.48,5523.0,0.0,110
Kepler-424 b,0,0.0,0.0,0,9.13,1158.0,424.48,5523.0,0.0,111
Kepler-424 b,0,0.0,0.0,0,9.06,1116.0,365.94,5461.0,0.0,112
Kepler-432 b,0,0.0,0.0,0,12.39,816.0,104.6,4995.0,0.0,113
Kepler-423 b,0,0.0,0.0,0,12.43,1291.0,655.98,5970.0,0.0,114
Kepler-423 b,0,0.0,0.0,0,12.43,1291.0,655.98,5970.0,0.0,115
Kepler-422 b,0,0.0,0.0,0,12.63,1028.0,263.54,5972.0,0.0,116
Kepler-423 b,0,0.0,0.0,0,12.43,1291.0,655.98,5970.0,0.0,117
Kepler-423 b,0,0.0,0.0,0,12.73,1265.0,603.57,5561.0,0.0,118
Kepler-423 b,0,0.0,0.0,0,13.97484988,1288.42,651.2557,5616.02,0.0,119
Kepler-425 b,0,0.0,0.0,0,11.75575788,980.02,218.0029,5211.36,0.0,120
Kepler-430 c,0,0.0,0.0,0,1.48,423.0,7.58,5831.0,0.0,121
Kepler-430 c,0,0.0,0.0,0,1.48,423.0,7.58,5831.0,0.0,122
Kepler-430 b,0,0.0,0.0,0,2.06,616.0,34.05,5831.0,0.0,123
Kepler-428 b,0,0.0,0.0,0,12.12100858,946.61,189.7622,5003.05,0.0,124
Kepler-428 b,0,0.0,0.0,0,11.87,955.0,196.91,5071.0,0.0,125
Kepler-427 b,0,0.0,0.0,0,9.83,884.0,144.34,6190.0,0.0,126
Kepler-427 b,0,0.0,0.0,0,13.43,996.0,233.08,5803.0,0.0,127
Kepler-430 b,0,0.0,0.0,0,2.06,616.0,34.05,5831.0,0.0,128
Kepler-430 c,0,0.0,0.0,0,1.86,463.0,10.84,5883.0,0.0,129
Kepler-430 c,0,0.0,0.0,0,1.48,423.0,7.58,5831.0,0.0,130
Kepler-431 b,0,0.0,0.0,0,0.97,1337.0,755.47,6293.0,0.0,131
Kepler-431 b,0,0.0,0.0,0,0.97,1337.0,755.47,6293.0,0.0,132
Kepler-431 b,0,0.0,0.0,0,0.97,1337.0,755.47,6293.0,0.0,133
Kepler-431 b,0,0.0,0.0,0,0.73,1026.0,262.26,6006.0,0.0,134
Kepler-431 c,0,0.0,0.0,0,0.92,1231.0,543.2,6293.0,0.0,135
Kepler-427 b,0,0.0,0.0,0,9.83,884.0,144.34,6190.0,0.0,136
Kepler-431 c,0,0.0,0.0,0,0.72,945.0,188.7,6006.0,0.0,137
Kepler-430 b,0,0.0,0.0,0,2.95,674.0,48.68,5883.0,0.0,138
Kepler-430 b,0,0.0,0.0,0,2.06,616.0,34.05,5831.0,0.0,139
Kepler-431 c,0,0.0,0.0,0,0.92,1231.0,543.2,6293.0,0.0,140
Kepler-43 b,0,0.0,0.0,0,12.1,1475.0,1120.06,6022.0,0.0,141
Kepler-431 d,0,0.0,0.0,0,1.22,1109.0,357.45,6293.0,0.0,142
Kepler-43 b,0,0.0,0.0,0,12.1,1475.0,1120.06,6022.0,0.0,143
Kepler-431 d,0,0.0,0.0,0,1.22,1109.0,357.45,6293.0,0.0,144
Kepler-431 d,0,0.0,0.0,0,0.87,851.0,123.89,6006.0,0.0,145
Kepler-43 b,0,0.0,0.0,0,12.1,1475.0,1120.06,6022.0,0.0,146
Kepler-431 d,0,0.0,0.0,0,1.22,1109.0,357.45,6293.0,0.0,147
Kepler-432 b,0,0.0,0.0,0,12.41,812.0,102.94,4976.0,0.0,148
Kepler-432 b,0,0.0,0.0,0,12.39,816.0,104.6,4995.0,0.0,149
Kepler-432 b,0,0.0,0.0,0,12.39,816.0,104.6,4995.0,0.0,150
Kepler-427 b,0,0.0,0.0,0,9.83,884.0,144.34,6190.0,0.0,151
Kepler-431 c,0,0.0,0.0,0,0.92,1231.0,543.2,6293.0,0.0,152
Kepler-412 b,0,0.0,0.0,0,12.53,1681.0,1887.96,6195.0,0.0,153
Kepler-412 b,0,0.0,0.0,0,12.53,1681.0,1887.96,6195.0,0.0,154
Kepler-412 b,0,0.0,0.0,0,13.25,1647.0,1743.61,5742.0,0.0,155
Kepler-412 b,0,0.0,0.0,0,13.46463141,1758.4,2259.3897,5832.83,0.0,156
Kepler-412 b,0,0.0,0.0,0,12.53,1681.0,1887.96,6195.0,0.0,157
Kepler-414 b,0,0.0,0.0,0,2.19,1030.0,266.3,5523.0,0.0,158
Kepler-414 b,0,0.0,0.0,0,2.19,1030.0,266.3,5523.0,0.0,159
Kepler-414 b,0,0.0,0.0,0,2.19,1030.0,266.3,5523.0,0.0,160
Kepler-414 b,0,0.0,0.0,0,1.74,1024.0,260.54,5497.0,0.0,161
Kepler-414 c,0,0.0,0.0,0,3.0,895.0,151.65,5523.0,0.0,162
Kepler-418 c,0,0.0,0.0,0,5.1,835.0,114.59,5822.0,0.0,163
