pl_name,hostname,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,pl_orbincl,pl_insol,pl_eqt,pl_trandep,pl_trandur,pl_ratdor,pl_ratror,pl_rvamp,st_teff,st_rad,st_mass,st_met,st_lum,st_logg,st_age,st_dens,st_spectype,sy_dist,sy_plx,sy_snum,sy_pnum,sy_vmag,sy_gaiamag,discoverymethod,HSI,SCI,OSF,is_habitable,sy_kepmag,pl_masse,pl_cmasse,elat,pl_imppar,pl_msinie,sy_w1mag,ra,sy_pm,sy_pmra,sy_w4mag
KMT-2019-BLG-0953L b,KMT-2019-BLG-0953L,796.343127963918,0.50775,3.9370039370059056,15.5,1.399541399542099,0.0,88.81,60.0,759.3188845661498,0.07974,3.3,17.58,0.026959,2.498754588657562,5558.0,0.9525,0.3295000000000001,0.01,0.0866649999999999,4.45,4.1,1.50018,G,7200.0,0.1388888888888889,1,1,13.23,12.96845,Microlensing,1.1741688830659882e-21,0.6883344090345422,0.0001110987668036885,0,14.2635,15.5,15.5,-5.2367,0.39355,15.5,11.3815,269.3385833,6.805369089953902,-1.15564,8.969
KMT-2019-BLG-1042L b,KMT-2019-BLG-1042L,1478.0971489976564,0.50775,7.770932848120617,60.38739733,0.709052581934559,0.0,88.81,60.0,759.3188845661498,0.07974,3.3,17.58,0.026959,7.565340662395363,5558.0,0.9525,0.3295000000000001,0.01,0.0866649999999999,4.45,4.1,1.50018,G,6600.0,0.1515151515151515,1,1,13.23,12.96845,Microlensing,5.681758297590141e-54,0.6883344090345422,0.0001110987668036885,0,14.2635,60.38739733,60.38739733,-4.1423,0.39355,60.38739733,11.3815,270.5440417,6.805369089953902,-1.15564,8.969
KMT-2019-BLG-1216L b,KMT-2019-BLG-1216L,2229.167284104779,0.50775,5.465882386220911,29.87587026,1.0080714531820711,0.0,88.81,60.0,759.3188845661498,0.07974,3.3,17.58,0.026959,2.740063407151611,5558.0,0.9525,0.39,0.01,0.0866649999999999,4.45,4.1,1.50018,G,2740.0,0.364963503649635,1,1,13.23,12.96845,Microlensing,1.7635805068917444e-31,0.6883344090345422,0.0001110987668036885,0,14.2635,29.87587026,29.87587026,-11.70405,0.39355,29.87587026,11.3815,268.480625,6.805369089953902,-1.15564,8.969
KMT-2019-BLG-1339L b,KMT-2019-BLG-1339L,1661.9857500147084,0.50775,9.049332515454054,366.2115375,0.276538972888901,0.0,88.81,60.0,759.3188845661498,0.07974,3.3,17.58,0.026959,34.96374328552687,5558.0,0.9525,0.48,0.01,0.0866649999999999,4.45,4.1,1.50018,G,6120.0,0.1633986928104575,1,1,13.23,12.96845,Microlensing,1.9950640240900476e-70,0.6883344090345422,0.0001110987668036885,0,14.2635,397.0,397.0,-2.19138,0.39355,397.0,11.3815,265.743417,6.805369089953902,-1.15564,8.969
KMT-2019-BLG-1367L b,KMT-2019-BLG-1367L,1619.1743013801818,0.50775,2.019900987672416,4.08,2.727856480900737,0.0,88.81,60.0,759.3188845661498,0.07974,3.3,17.58,0.026959,0.5599290020900282,5558.0,0.9525,0.3295000000000001,0.01,0.0866649999999999,4.45,4.1,1.50018,G,4670.0,0.2141327623126338,1,1,13.23,12.96845,Microlensing,4.3081528861456886e-15,0.6883344090345422,0.0001110987668036885,0,14.2635,4.08,4.08,-6.34144,0.39355,4.08,11.3815,272.4713333,6.805369089953902,-1.15564,8.969
KMT-2019-BLG-1552L b,KMT-2019-BLG-1552L,1722.8072904787064,0.50775,9.049332515454054,366.2115375,0.1535775488158117,0.0,88.81,60.0,759.3188845661498,0.07974,3.3,17.58,0.026959,80.35534672367595,5558.0,0.9525,0.79,0.01,0.0866649999999999,4.45,4.1,1.50018,G,4600.0,0.217391304347826,1,1,13.23,12.96845,Microlensing,1.9950640240900476e-70,0.6883344090345422,0.0001110987668036885,0,14.2635,1287.205048,1287.205048,-4.12816,0.39355,1287.205048,11.3815,269.5957917,6.805369089953902,-1.15564,8.969
KMT-2019-BLG-1715L b,KMT-2019-BLG-1715L,2828.996646588072,0.50775,9.049332515454054,366.2115375,0.1931680343967076,0.0,88.81,60.0,759.3188845661498,0.07974,3.3,17.58,0.026959,51.152396091395794,5558.0,0.9525,0.61,0.01,0.0866649999999999,4.45,4.1,1.50018,G,3860.0,0.2590673575129533,1,1,13.23,12.96845,Microlensing,1.9950640240900476e-70,0.6883344090345422,0.0001110987668036885,0,14.2635,813.6407219,813.6407219,-5.33828,0.39355,813.6407219,11.3815,270.3717083,6.805369089953902,-1.15564,8.969
KMT-2019-BLG-1806L b,KMT-2019-BLG-1806L,2228.3570501348768,0.50775,2.1610182784974308,4.67,2.54972392173894,0.0,88.81,60.0,759.3188845661498,0.07974,3.3,17.58,0.026959,0.2794890605977475,5558.0,0.9525,0.74,0.01,0.0866649999999999,4.45,4.1,1.50018,G,6640.0,0.1506024096385542,1,1,13.23,12.96845,Microlensing,2.3450931012304986e-15,0.6883344090345422,0.0001110987668036885,0,14.2635,4.67,4.67,-5.97649,0.39355,4.67,11.3815,270.5375417,6.805369089953902,-1.15564,8.969
KMT-2019-BLG-1953L b,KMT-2019-BLG-1953L,12.283211,0.1003949523459706,9.049332515454054,200.0,0.3896158364337876,0.0,88.81,60.0,759.3188845661498,0.07974,3.3,17.58,0.026959,2.72,5558.0,0.9525,0.3295000000000001,0.01,0.0866649999999999,4.45,4.1,1.50018,G,7040.0,0.1420454545454545,1,1,13.23,12.96845,Microlensing,1.9950640240900476e-70,0.6883344090345422,0.0001110987668036885,0,14.2635,200.0,200.0,-4.76423,0.39355,200.0,11.3815,269.11625,6.805369089953902,-1.15564,8.969
KMT-2019-BLG-2783L b,KMT-2019-BLG-2783L,1576.189240946865,0.50775,9.049332515454054,366.2115375,0.2869632277826007,0.0,88.81,60.0,759.3188845661498,0.07974,3.3,17.58,0.026959,41.590356438100414,5558.0,0.9525,0.34,0.01,0.0866649999999999,4.45,4.1,1.50018,G,5910.0,0.1692047377326565,1,1,13.23,12.96845,Microlensing,1.9950640240900476e-70,0.6883344090345422,0.0001110987668036885,0,14.2635,368.6809521,368.6809521,-10.35071,0.39355,368.6809521,11.3815,269.2919167,6.805369089953902,-1.15564,8.969
KMT-2019-BLG-2974L b,KMT-2019-BLG-2974L,1506.9064407840974,0.50775,9.049332515454054,88.99195396,0.5840852345766605,0.0,88.81,60.0,759.3188845661498,0.07974,3.3,17.58,0.026959,8.212097187019994,5558.0,0.9525,0.47,0.01,0.0866649999999999,4.45,4.1,1.50018,G,6100.0,0.1639344262295081,1,1,13.23,12.96845,Microlensing,1.9950640240900476e-70,0.6883344090345422,0.0001110987668036885,0,14.2635,88.99195396,88.99195396,-5.9979,0.39355,88.99195396,11.3815,267.8520833,6.805369089953902,-1.15564,8.969
