pl_name,pl_rade,pl_bmasse,pl_orbper,pl_eqt,pl_dens,st_teff,st_rad,st_mass,st_lum,pl_rade_original,pl_bmasse_original,pl_orbper_original,pl_eqt_original,pl_dens_original,st_teff_original,st_rad_original,st_mass_original,st_lum_original,habitable
Kepler-32 c,-0.03850337571999588,-0.1227152091663114,-0.005438232425730126,-1.3380459060672287,-0.01982812812908841,-1.8319403136638956,-0.37245964286583505,-1.4253599408390722,0.04710786240144971,2.2,188.15536,8.75210645,449.0,1.325,3727.0,0.5,0.52,-0.08612,0
Kepler-32 c,-0.04053375928763095,-0.1227152091663114,-0.005438232250155099,-1.3380459060672287,-0.01982812812908841,-1.8319403136638956,-0.37245964286583505,-1.4253599408390722,0.04710786240144971,2.08,188.15536,8.75245953,449.0,1.325,3727.0,0.5,0.52,-0.08612,0
Kepler-259 c,-0.03004344418818309,-0.1227152091663114,-0.005424223010231534,-0.12737739287788846,-0.01982812812908841,0.49197648204447086,-0.13852935295856847,0.04596944814951567,0.04710786240144971,2.7,188.15536,36.924931,798.0,1.325,5938.0,0.898,0.959,-0.08612,0
Kepler-259 c,-0.022937101701460346,-0.1227152091663114,-0.005437460770031514,-0.12737739287788846,-0.01982812812908841,0.04316939395425263,-0.12618629746094887,0.04596944814951567,0.04710786240144971,3.12,188.15536,10.3039,798.0,1.325,5511.0,0.919,0.959,-0.08612,0
Kepler-259 c,-0.029349729802574442,-0.1227152091663114,-0.005424222999241933,-0.12737739287788846,-0.01982812812908841,0.04316939395425263,-0.13911711750607417,-0.2623729294972954,0.04710786240144971,2.741,188.15536,36.9249531,798.0,1.325,5511.0,0.897,0.867,-0.08612,0
Kepler-259 c,-0.029874245557546836,-0.1227152091663114,-0.005424222999241933,-1.0570598041522243,-0.01982812812908841,0.4793636364775326,-0.14499476298113112,0.10964885222874847,0.04710786240144971,2.71,188.15536,36.9249531,530.0,1.325,5926.0,0.887,0.978,-0.08612,0
Kepler-259 c,-0.03664219078299707,-0.1227152091663114,-0.005424222901499981,-0.12737739287788846,-0.01982812812908841,0.15037858127322748,-0.14501474697574632,0.14986742322615865,-0.1367590987678374,2.31,188.15536,36.9251496583,798.0,1.325,5613.0,0.886966,0.99,-0.15271,0
Kepler-259 c,-0.029028252404365563,-0.1227152091663114,-0.005424222999241933,-0.12737739287788846,-0.01982812812908841,0.11359111503632434,-0.1373538238635571,-0.05122543176089192,0.04710786240144971,2.76,188.15536,36.9249531,798.0,1.325,5578.0,0.9,0.93,-0.08612,0
Kepler-259 c,-0.02327549896273286,-0.1227152091663114,-0.005424222657669243,-1.03971498304636,-0.01982812812908841,0.4846189887970902,-0.13147617838850015,0.23365611280409618,0.04710786240144971,3.1,188.15536,36.92564,535.0,1.325,5931.0,0.91,1.015,-0.08612,0
Kepler-259 c,-0.03664219078299707,-0.1227152091663114,-0.005424222896983952,-0.12737739287788846,-0.01982812812908841,0.15037858127322748,-0.14501474697574632,0.14986742322615865,-0.1367590987678374,2.31,188.15536,36.92515874,798.0,1.325,5613.0,0.886966,0.99,-0.15271,0
Kepler-259 c,-0.029874245557546836,-0.1227152091663114,-0.005424222999241933,-1.0570598041522243,-0.01982812812908841,0.4793636364775326,-0.14499476298113112,0.10964885222874847,0.04710786240144971,2.71,188.15536,36.9249531,530.0,1.325,5926.0,0.887,0.978,-0.08612,0
Kepler-259 c,-0.024798286638459167,-0.1227152091663114,-0.0054242229555818925,-1.0570598041522243,-0.01982812812908841,0.4793636364775326,-0.14499476298113112,0.10964885222874847,0.04710786240144971,3.01,188.15536,36.9250409,530.0,1.325,5926.0,0.887,0.978,-0.08612,0
Kepler-259 c,-0.029874245557546836,-0.1227152091663114,-0.005424222999241933,-1.0570598041522243,-0.01982812812908841,0.4793636364775326,-0.14499476298113112,0.10964885222874847,0.04710786240144971,2.71,188.15536,36.9249531,530.0,1.325,5926.0,0.887,0.978,-0.08612,0
Kepler-259 c,-0.03664219078299707,-0.1227152091663114,-0.0054242229555818925,-0.12737739287788846,-0.01982812812908841,0.15037858127322748,-0.14501474697574632,0.14986742322615865,-0.1367590987678374,2.31,188.15536,36.9250409,798.0,1.325,5613.0,0.886966,0.99,-0.15271,0
Kepler-148 c,-0.017184348259827655,-0.1227152091663114,-0.005440505958675096,-0.12737739287788846,-0.01982812812908841,-0.313143493311752,-0.1902526331390696,-0.285833762579118,0.04710786240144971,3.46,188.15536,4.180049552,798.0,1.325,5172.0,0.81,0.86,-0.08612,0
Kepler-148 c,-0.017522745521100166,-0.1227152091663114,-0.005440505959406576,0.4241879182886018,-0.01982812812908841,-0.25533461779661853,-0.17379522580891021,-0.23220900124923777,0.04710786240144971,3.44,188.15536,4.180048081,957.0,1.325,5227.0,0.838,0.876,-0.08612,0
Kepler-148 c,-0.03664219078299707,-0.1227152091663114,-0.005440505930754152,-0.12737739287788846,-0.01982812812908841,-0.4739572742902143,-0.16641055203404864,-0.3863801900726435,-0.7737908844919134,2.31,188.15536,4.1801057008,798.0,1.325,5019.0,0.850564,0.83,-0.38342,0
Kepler-148 c,-0.015661560584101352,-0.1227152091663114,-0.005440505958675096,0.4415327393944663,-0.01982812812908841,-0.2090875173845117,-0.17379522580891021,-0.17523269233624,0.04710786240144971,3.55,188.15536,4.180049552,962.0,1.325,5271.0,0.838,0.893,-0.08612,0
Kepler-148 c,-0.015661560584101352,-0.1227152091663114,-0.005440505958675096,0.4415327393944663,-0.01982812812908841,-0.2090875173845117,-0.17379522580891021,-0.17523269233624,0.04710786240144971,3.55,188.15536,4.180049552,962.0,1.325,5271.0,0.838,0.893,-0.08612,0
Kepler-148 c,-0.02327549896273286,-0.1227152091663114,-0.005440505950545775,0.32705692009576076,-0.01982812812908841,-0.2973774363530792,-0.20788556956424048,-0.5640122119778714,0.04710786240144971,3.1,188.15536,4.1800659,929.0,1.325,5187.0,0.78,0.777,-0.08612,0
Kepler-148 c,-0.03664219078299707,-0.1227152091663114,-0.005440505959406576,-0.12737739287788846,-0.01982812812908841,-0.4739572742902143,-0.16641055203404864,-0.3863801900726435,-0.7737908844919134,2.31,188.15536,4.180048081,798.0,1.325,5019.0,0.850564,0.83,-0.38342,0
Kepler-148 c,-0.019231651690526347,-0.1227152091663114,-0.005437460770031514,-0.12737739287788846,-0.01982812812908841,-0.25743675872444155,-0.1873138104015412,0.04596944814951567,0.04710786240144971,3.339,188.15536,10.3039,798.0,1.325,5225.0,0.815,0.959,-0.08612,0
Kepler-148 c,-0.01481556743092007,-0.1227152091663114,-0.005440505961933189,-0.12737739287788846,-0.01982812812908841,-0.2080364469206002,-0.16615428669133617,0.04596944814951567,0.04710786240144971,3.6,188.15536,4.180043,798.0,1.325,5272.0,0.851,0.959,-0.08612,0
Kepler-148 c,-0.015661560584101352,-0.1227152091663114,-0.005440505958675096,0.4415327393944663,-0.01982812812908841,-0.2090875173845117,-0.17379522580891021,-0.17523269233624,0.04710786240144971,3.55,188.15536,4.180049552,962.0,1.325,5271.0,0.838,0.893,-0.08612,0
