pl_name,predicted_class,habitability_probability,habitability_score,actual_label,pl_rade,pl_eqt,pl_insol,st_teff,rank
Kepler-712 c,0,0.0067986106,0.67986107,0,4.53,236.0,0.73,5067.0,170
Kepler-1868 b,0,0.0066166273,0.66166276,0,3.69,212.0,0.48,4628.0,171
Kepler-1868 b,0,0.0066166273,0.66166276,0,3.43,215.0,0.5,4658.0,172
Kepler-1868 b,0,0.0066166273,0.66166276,0,3.69,212.0,0.48,4628.0,173
Kepler-1868 b,0,0.0066166273,0.66166276,0,3.69,212.0,0.48,4628.0,174
Kepler-1086 c,0,0.0062913327,0.6291333,0,2.74,203.0,0.4,4137.0,175
Kepler-1086 c,0,0.0062913327,0.6291333,0,2.74,203.0,0.4,4137.0,176
Kepler-1318 b,0,0.0062913327,0.6291333,0,2.85,202.0,0.39,4476.0,177
Kepler-1318 b,0,0.0062913327,0.6291333,0,2.85,202.0,0.39,4476.0,178
Kepler-1318 b,0,0.0062913327,0.6291333,0,2.85,202.0,0.39,4476.0,179
Kepler-1318 b,0,0.0062913327,0.6291333,0,2.72,202.0,0.39,4477.0,180
Kepler-1086 c,0,0.0062913327,0.6291333,0,2.74,203.0,0.4,4137.0,181
Kepler-1600 b,0,0.0061932863,0.6193286,0,3.15,211.0,0.47,5303.0,182
Kepler-1600 b,0,0.0061932863,0.6193286,0,3.15,211.0,0.47,5303.0,183
Kepler-468 b,0,0.006168992,0.6168992,0,12.56093758,214.07,0.4963,5439.49,184
K2-3 d,0,0.0061409175,0.61409175,0,1.51,282.0,1.5,3896.0,185
Kepler-1143 c,0,0.0059457314,0.59457314,0,3.21,230.0,0.66,4905.0,186
Kepler-1143 c,0,0.0059457314,0.59457314,0,3.21,230.0,0.66,4905.0,187
PH2 b,0,0.005822424,0.58224237,0,8.98,264.0,1.15,5725.0,188
KIC 9663113 b,0,0.005816112,0.58161116,0,3.78,232.0,0.69,6065.0,189
KIC 9663113 b,0,0.005816112,0.58161116,0,3.78,232.0,0.69,6065.0,190
Kepler-991 b,0,0.0057051172,0.5705117,1,2.45,260.0,1.08,4316.0,191
Kepler-87 c,0,0.0056579066,0.56579065,0,4.96,259.0,1.07,5991.0,192
Kepler-87 c,0,0.0056579066,0.56579065,0,4.96,259.0,1.07,5991.0,193
Kepler-87 c,0,0.0056579066,0.56579065,0,4.96,259.0,1.07,5991.0,194
TOI-178 f,0,0.005338276,0.5338276,0,2.61967665,225.13,0.6071,4111.0,195
Kepler-553 c,0,0.005295587,0.52955866,0,10.99,224.0,0.59,5234.0,196
Kepler-1704 b,0,0.0049463757,0.49463758,0,10.81,223.0,0.58,5755.0,197
Kepler-1704 b,0,0.0049463757,0.49463758,0,10.81,223.0,0.58,5755.0,198
K2-18 b,0,0.004912566,0.4912566,0,2.61,254.9,1.005,3457.0,199
Kepler-1540 b,0,0.004719144,0.4719144,0,3.14,266.0,1.18,4641.0,200
Kepler-1635 b,0,0.0045303777,0.45303777,0,3.28,202.0,0.39,5484.0,201
Kepler-1635 b,0,0.0045303777,0.45303777,0,3.28,202.0,0.39,5484.0,202
Kepler-396 c,0,0.0045096343,0.45096344,0,5.15743026,209.17,0.4524,5509.61,203
Kepler-553 c,0,0.004470922,0.4470922,0,11.83,242.0,0.82,5551.0,204
Kepler-553 c,0,0.004470922,0.4470922,0,11.83,242.0,0.82,5551.0,205
Kepler-553 c,0,0.004470922,0.4470922,0,11.83,242.0,0.82,5551.0,206
Kepler-1600 b,0,0.004470922,0.4470922,0,2.96,209.0,0.45,5119.0,207
EPIC 248847494 b,0,0.0044681043,0.44681042,0,12.44199,183.0,0.19,4898.0,208
Kepler-62 e,0,0.004292288,0.42922878,0,1.72,269.0,1.24,4926.0,209
KIC 9663113 b,0,0.004222277,0.4222277,0,5.8,264.0,1.15,6226.0,210
Kepler-1636 b,0,0.0041516754,0.41516754,0,3.2,248.0,0.89,5977.0,211
Kepler-1636 b,0,0.0041516754,0.41516754,0,3.22,248.0,0.89,5977.0,212
Kepler-1636 b,0,0.0041516754,0.41516754,0,3.22,248.0,0.89,5977.0,213
Kepler-1625 b,0,0.004151559,0.4151559,0,5.4,253.0,0.97,5645.0,214
Kepler-1625 b,0,0.004151559,0.4151559,0,5.4,253.0,0.97,5645.0,215
Kepler-438 b,0,0.0039369008,0.39369008,0,0.97,288.0,1.62,3749.0,216
Kepler-1554 b,0,0.0039141392,0.39141393,0,2.74,266.0,1.19,5462.0,217
Kepler-1554 b,0,0.0039141392,0.39141393,0,2.74,266.0,1.19,5462.0,218
Kepler-1554 b,0,0.0039141392,0.39141393,0,2.74,266.0,1.19,5462.0,219
K2-140 b,0,0.003764924,0.37649238,0,12.33083015,212.68,0.4835,5712.0,220
Kepler-1097 b,0,0.0034991694,0.34991693,0,2.95,267.0,1.2,5303.0,221
Kepler-1097 b,0,0.0034991694,0.34991693,0,3.12,267.0,1.2,5303.0,222
Kepler-1097 b,0,0.0034991694,0.34991693,0,3.12,267.0,1.2,5303.0,223
Kepler-1097 b,0,0.0034991694,0.34991693,0,3.12,267.0,1.2,5303.0,224
Kepler-1512 b,0,0.0034223641,0.3422364,0,0.8,276.0,1.38,3419.0,225
Kepler-289 c,0,0.0033047395,0.33047396,0,11.55958327,162.2,0.1636,5968.88,226
Kepler-438 b,0,0.003190291,0.31902912,0,0.98,273.0,1.31,3688.0,227
Kepler-438 b,0,0.003190291,0.31902912,0,0.98,273.0,1.31,3688.0,228
Kepler-438 b,0,0.003190291,0.31902912,0,0.98,273.0,1.31,3688.0,229
Kepler-1638 b,0,0.0031645496,0.31645495,0,1.6,304.0,1.17,5906.0,230
TOI-4633 c,0,0.0030362299,0.303623,0,3.52959232,268.57,1.2295,5490.04,231
TOI-1231 b,0,0.0030283001,0.30283,0,3.878568,122.22,0.0527,3535.0,232
