pl_name,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_insol,pl_eqt,st_teff,st_rad,st_mass,st_met,st_logg,disc_year,pl_density,escape_velocity_factor,tidal_heating_indicator,flux_variation,st_type_category,pl_type_category,stellar_compatibility_index,habitability_score_index,hz_conservative,habitable_candidate,hz_optimistic,st_type_category_F,st_type_category_G,st_type_category_K,st_type_category_M,st_type_category_Other,pl_type_category_jupiter,pl_type_category_neptune,pl_type_category_rocky,pl_type_category_super_earth
Kepler-883 b,12.98495573,0.102,1.53,2.4013991218525303,0.0,114.39,834.0,6212.0,0.945,0.838,-0.82,4.411,2016,0.6704865264246811,1.252813597350993,0.0,0.0,F,super_earth,0.7633333333333333,0.3938333333333333,0,0,0,True,False,False,False,False,False,False,False,True
Kepler-883 b,12.98495573,0.102,1.53,2.4013991218525303,0.0,114.39,834.0,6212.0,0.945,0.838,-0.82,4.411,2016,0.6704865264246811,1.252813597350993,0.0,0.0,F,super_earth,0.7633333333333333,0.3938333333333333,0,0,0,True,False,False,False,False,False,False,False,True
Kepler-884 b,5.69919514,0.0625,1.32,2.7933383601863113,0.0,332.54,1089.0,6070.0,1.034,1.001,-0.18,4.409,2016,1.2145118367674295,1.4547045832001662,0.0,0.0,F,rocky,0.87,0.43783333333333335,0,0,0,True,False,False,False,False,False,False,True,False
Kepler-884 b,5.69919514,0.0625,1.32,2.7933383601863113,0.0,332.54,1089.0,6070.0,1.034,1.001,-0.18,4.409,2016,1.2145118367674295,1.4547045832001662,0.0,0.0,F,rocky,0.87,0.43783333333333335,0,0,0,True,False,False,False,False,False,False,True,False
Kepler-884 b,5.69919592,0.0622,1.16,1.7317873386937765,0.0,204.18,964.0,5646.0,0.932,0.986,0.12,4.493,2016,1.1094828474759222,1.2218511036798225,0.0,0.0,G,rocky,0.9633333333333333,0.4731666666666666,0,0,0,False,True,False,False,False,False,False,True,False
Kepler-884 b,5.69919514,0.0625,1.32,2.7933383601863113,0.0,332.54,1089.0,6070.0,1.034,1.001,-0.18,4.409,2016,1.2145118367674295,1.4547045832001662,0.0,0.0,F,rocky,0.87,0.43783333333333335,0,0,0,True,False,False,False,False,False,False,True,False
Kepler-885 b,18.11472949,0.1441,2.41,6.122870973581465,0.0,131.8,864.0,6453.0,1.328,1.215,-0.02,4.276,2016,0.4374253822217137,1.593929221289934,0.0,0.0,F,super_earth,0.8966666666666666,0.2965,0,0,0,True,False,False,False,False,False,False,False,True
Kepler-885 b,18.11473813,0.1432,2.49,6.5489346239246995,0.0,112.43,830.0,6109.0,1.36,1.194,0.14,4.247,2016,0.42420190423957393,1.6217565250295072,0.0,0.0,F,super_earth,0.8766666666666666,0.28283333333333327,0,0,0,True,False,False,False,False,False,False,False,True
Kepler-885 b,18.11472949,0.1441,2.41,6.122870973581465,0.0,131.8,864.0,6453.0,1.328,1.215,-0.02,4.276,2016,0.4374253822217137,1.593929221289934,0.0,0.0,F,super_earth,0.8966666666666666,0.2965,0,0,0,True,False,False,False,False,False,False,False,True
Kepler-885 b,18.11472949,0.1441,2.41,6.122870973581465,0.0,131.8,864.0,6453.0,1.328,1.215,-0.02,4.276,2016,0.4374253822217137,1.593929221289934,0.0,0.0,F,super_earth,0.8966666666666666,0.2965,0,0,0,True,False,False,False,False,False,False,False,True
Kepler-886 b,6.24145791,0.067,1.6,2.633220116762752,0.0,360.09,1111.0,5810.0,1.259,1.026,0.1,4.25,2016,0.6428760050690311,1.2828727812907716,0.0,0.0,G,super_earth,0.9666666666666667,0.4149999999999999,0,0,0,False,True,False,False,False,False,False,False,True
Kepler-886 b,6.24146367,0.0671,1.36,3.1195644386133887,0.0,344.06,1098.0,6334.0,1.037,1.026,-0.32,4.42,2016,1.2401586188004832,1.5145287654360924,0.0,0.0,F,rocky,0.8466666666666667,0.429,0,0,0,True,False,False,False,False,False,False,True,False
Kepler-886 b,6.24146367,0.0671,1.36,3.1195644386133887,0.0,344.06,1098.0,6334.0,1.037,1.026,-0.32,4.42,2016,1.2401586188004832,1.5145287654360924,0.0,0.0,F,rocky,0.8466666666666667,0.429,0,0,0,True,False,False,False,False,False,False,True,False
Kepler-886 b,6.24146367,0.0671,1.36,3.1195644386133887,0.0,344.06,1098.0,6334.0,1.037,1.026,-0.32,4.42,2016,1.2401586188004832,1.5145287654360924,0.0,0.0,F,rocky,0.8466666666666667,0.429,0,0,0,True,False,False,False,False,False,False,True,False
Kepler-887 b,20.42228798,0.1543,1.62,2.7014748576381113,0.0,87.97,781.0,6422.0,1.173,1.175,-0.06,4.369,2016,0.6354126934217794,1.2913469993058093,0.0,0.0,F,super_earth,0.89,0.4008333333333333,0,0,0,True,False,False,False,False,False,False,False,True
Kepler-887 b,20.42228798,0.1543,1.62,2.7014748576381113,0.0,87.97,781.0,6422.0,1.173,1.175,-0.06,4.369,2016,0.6354126934217794,1.2913469993058093,0.0,0.0,F,super_earth,0.89,0.4008333333333333,0,0,0,True,False,False,False,False,False,False,False,True
Kepler-887 b,20.42228798,0.1543,1.62,2.7014748576381113,0.0,87.97,781.0,6422.0,1.173,1.175,-0.06,4.369,2016,0.6354126934217794,1.2913469993058093,0.0,0.0,F,super_earth,0.89,0.4008333333333333,0,0,0,True,False,False,False,False,False,False,False,True
Kepler-887 b,20.4222447,0.1536,1.78,3.279934755119099,0.0,89.74,785.0,6119.0,1.299,1.157,0.1,4.274,2016,0.5815742882167689,1.3574461222405885,0.0,0.0,F,super_earth,0.8833333333333333,0.37849999999999995,0,0,0,True,False,False,False,False,False,False,False,True
Kepler-887 c,7.63846023,0.0801,1.05,1.1978443991707928,0.0,326.45,1084.0,6422.0,1.173,1.175,-0.06,4.369,2016,1.0347430291940765,1.0680843551360863,0.0,0.0,F,rocky,0.89,0.4768333333333334,0,0,0,True,False,False,False,False,False,False,True,False
Kepler-887 c,7.63846023,0.0801,1.05,1.1978443991707928,0.0,326.45,1084.0,6422.0,1.173,1.175,-0.06,4.369,2016,1.0347430291940765,1.0680843551360863,0.0,0.0,F,rocky,0.89,0.4768333333333334,0,0,0,True,False,False,False,False,False,False,True,False
Kepler-887 c,7.63846023,0.0801,1.05,1.1978443991707928,0.0,326.45,1084.0,6422.0,1.173,1.175,-0.06,4.369,2016,1.0347430291940765,1.0680843551360863,0.0,0.0,F,rocky,0.89,0.4768333333333334,0,0,0,True,False,False,False,False,False,False,True,False
Kepler-887 c,7.63846084,0.0797,1.12,1.5209210961543587,0.0,333.3,1089.0,6119.0,1.299,1.157,0.1,4.274,2016,1.082561594725394,1.1653176667430794,0.0,0.0,F,rocky,0.8833333333333333,0.4664999999999999,0,0,0,True,False,False,False,False,False,False,True,False
