pl_name,pl_rade,pl_bmasse,pl_orbper,pl_eqt,pl_dens,st_teff,st_rad,st_mass,st_lum,pl_rade_original,pl_bmasse_original,pl_orbper_original,pl_eqt_original,pl_dens_original,st_teff_original,st_rad_original,st_mass_original,st_lum_original,habitable
Kepler-437 b,-0.0525468620628051,-0.1227152091663114,-0.0054094414422148,-1.875735360349028,-0.0198281281290884,-1.096190988925833,-0.3007523680701402,-1.1069629204429097,0.0471078624014497,1.37,188.15536,66.6505482,294.0,1.325,4427.0,0.622,0.615,-0.08612,1
Kepler-437 b,-0.0525468620628051,-0.1227152091663114,-0.0054094414422148,-1.875735360349028,-0.0198281281290884,-1.096190988925833,-0.3007523680701402,-1.1069629204429097,0.0471078624014497,1.37,188.15536,66.6505482,294.0,1.325,4427.0,0.622,0.615,-0.08612,1
Kepler-1450 b,-0.0495012867113525,-0.1227152091663114,-0.0054154788261096,-1.8202319328102612,-0.0198281281290884,-1.1193145391318864,-0.3078055426402086,-1.1069629204429097,0.0471078624014497,1.55,188.15536,54.5094166,310.0,1.325,4405.0,0.61,0.615,-0.08612,1
Kepler-1450 b,-0.0495012867113525,-0.1227152091663114,-0.0054154788261096,-1.8202319328102612,-0.0198281281290884,-1.1193145391318864,-0.3078055426402086,-1.1069629204429097,0.0471078624014497,1.55,188.15536,54.5094166,310.0,1.325,4405.0,0.61,0.615,-0.08612,1
Kepler-1450 b,-0.0495012867113525,-0.1227152091663114,-0.0054154788261096,-1.8202319328102612,-0.0198281281290884,-1.1193145391318864,-0.3078055426402086,-1.1069629204429097,0.0471078624014497,1.55,188.15536,54.5094166,310.0,1.325,4405.0,0.61,0.615,-0.08612,1
Kepler-438 b,-0.059145608657619,-0.1227152091663114,-0.0054250642621492,-1.9485836089936583,-0.0198281281290884,-1.8729320617564449,-0.3942069311235456,-1.5627733917468916,0.0471078624014497,0.98,188.15536,35.23318,273.0,1.325,3688.0,0.463,0.479,-0.08612,1
Kepler-438 b,-0.059145608657619,-0.1227152091663114,-0.0054250642621492,-1.9485836089936583,-0.0198281281290884,-1.8729320617564449,-0.3942069311235456,-1.5627733917468916,0.0471078624014497,0.98,188.15536,35.23318,273.0,1.325,3688.0,0.463,0.479,-0.08612,1
Kepler-438 b,-0.059145608657619,-0.1227152091663114,-0.0054250642621492,-1.9485836089936583,-0.0198281281290884,-1.8729320617564449,-0.3942069311235456,-1.5627733917468916,0.0471078624014497,0.98,188.15536,35.23318,273.0,1.325,3688.0,0.463,0.479,-0.08612,1
Kepler-438 b,-0.0593148072882553,-0.1227152091663114,-0.0054250643171469,-1.8965491456760653,-0.0198281281290884,-1.8088167634578425,-0.3583532937256983,-1.3114073230130778,0.0471078624014497,0.97,188.15536,35.2330694,288.0,1.325,3749.0,0.524,0.554,-0.08612,1
Kepler-296 f,-0.0557616360448939,-0.1227152091663114,-0.0054110899202087,-2.1948800686969343,-0.0198281281290884,-2.043205476910111,-0.4412280949240013,-1.84765493631188,0.0471078624014497,1.18,188.15536,63.3354719,202.0,1.325,3526.0,0.383,0.394,-0.08612,1
Kepler-1512 b,-0.0621911840090717,-0.1227152091663114,-0.0054324603432493,-1.93817671633014,-0.0198281281290884,-2.155670016548643,-0.4641509122767234,-2.008529220301521,0.0471078624014497,0.8,188.15536,20.35971899,276.0,1.325,3419.0,0.344,0.346,-0.08612,1
Kepler-1126 c,-0.051193273017715,-0.1227152091663114,-0.0053432958771978,-1.837576753916126,-0.0198281281290884,0.2186981614274761,-0.1250107683659374,-0.5070359030648746,0.0471078624014497,1.45,188.15536,199.66876,305.0,1.325,5678.0,0.921,0.794,-0.08612,1
Kepler-1126 c,-0.0496704853419887,-0.1227152091663114,-0.0053432979771563,-1.8341077896949527,-0.0198281281290884,0.6685563199816059,-0.170268638523876,-0.034467693845305,0.0471078624014497,1.54,188.15536,199.664537,306.0,1.325,6106.0,0.844,0.935,-0.08612,1
Kepler-1126 c,-0.0496704853419887,-0.1227152091663114,-0.0053432979771563,-1.8341077896949527,-0.0198281281290884,0.6685563199816059,-0.170268638523876,-0.034467693845305,0.0471078624014497,1.54,188.15536,199.664537,306.0,1.325,6106.0,0.844,0.935,-0.08612,1
Kepler-1126 c,-0.0496704853419887,-0.1227152091663114,-0.0053432979771563,-1.8341077896949527,-0.0198281281290884,0.6685563199816059,-0.170268638523876,-0.034467693845305,0.0471078624014497,1.54,188.15536,199.664537,306.0,1.325,6106.0,0.844,0.935,-0.08612,1
Kepler-296 e,-0.0520392661708963,-0.1227152091663114,-0.0054256066362214,-1.865328467685509,-0.0198281281290884,-1.6900458010358408,-0.372459642865835,-1.4387661311715434,0.0471078624014497,1.4,188.15536,34.14247,297.0,1.325,3862.0,0.5,0.516,-0.08612,1
Kepler-296 e,-0.0574536223512565,-0.1227152091663114,-0.0054256069246363,-2.0491835714076725,-0.0198281281290884,-2.0526651110853145,-0.4488690340415753,-1.8945766024755253,0.0471078624014497,1.08,188.15536,34.14189,244.0,1.325,3517.0,0.37,0.38,-0.08612,1
Kepler-296 e,-0.057792019612529,-0.1227152091663114,-0.0054256068447752,-2.035307714522981,-0.0198281281290884,-2.043205476910111,-0.4412280949240013,-1.84765493631188,0.0471078624014497,1.06,188.15536,34.1420506,248.0,1.325,3526.0,0.383,0.394,-0.08612,1
Kepler-296 e,-0.0574536223512565,-0.1227152091663114,-0.0054256069246363,-2.0491835714076725,-0.0198281281290884,-2.0526651110853145,-0.4488690340415753,-1.8945766024755253,0.0471078624014497,1.08,188.15536,34.14189,244.0,1.325,3517.0,0.37,0.38,-0.08612,1
Kepler-296 e,-0.0574536223512565,-0.1227152091663114,-0.0054256069246363,-2.0491835714076725,-0.0198281281290884,-2.0526651110853145,-0.4488690340415753,-1.8945766024755253,0.0471078624014497,1.08,188.15536,34.14189,244.0,1.325,3517.0,0.37,0.38,-0.08612,1
Kepler-1649 b,-0.0585195737242649,-0.1227152091663114,-0.0054382637572547,-1.83063882547378,-0.0198281281290884,-2.3438116295888047,-0.5301568709616129,-2.505563726877848,-6.030883892136315,1.017,188.15536,8.689099,307.0,1.325,3240.0,0.2317,0.1977,-2.28735,1
Kepler-1649 b,-0.0660827525137055,-0.1227152091663114,-0.0054382637714666,-2.163659390706378,-0.0198281281290884,-2.90823646870929,-0.5969857000130103,-2.846416116080899,0.0471078624014497,0.57,188.15536,8.68907042,211.0,1.325,2703.0,0.118,0.096,-0.08612,1
Kepler-1649 b,-0.0660827525137055,-0.1227152091663114,-0.0054382637714666,-2.163659390706378,-0.0198281281290884,-2.90823646870929,-0.5969857000130103,-2.846416116080899,0.0471078624014497,0.57,188.15536,8.68907042,211.0,1.325,2703.0,0.118,0.096,-0.08612,1
Kepler-1649 b,-0.0660827525137055,-0.1227152091663114,-0.0054382637714666,-2.163659390706378,-0.0198281281290884,-2.90823646870929,-0.5969857000130103,-2.846416116080899,0.0471078624014497,0.57,188.15536,8.68907042,211.0,1.325,2703.0,0.118,0.096,-0.08612,1
Kepler-1638 b,-0.0486552935581712,-0.1227152091663114,-0.0053136109079687,-1.8410457181372988,-0.0198281281290884,0.4583422271993023,-0.1755585194514272,-0.429950308653172,-0.029873829705469,1.6,188.15536,259.365,304.0,1.325,5906.0,0.835,0.817,-0.114,1
Kepler-560 b,-0.0491628894500799,-0.1227152091663114,-0.0054333962367598,-1.9589905016571771,-0.0198281281290884,-2.189304271393812,-0.4900125523669739,-2.1627004091249264,0.0471078624014497,1.57,188.15536,18.47764449,270.0,1.325,3387.0,0.3,0.3,-0.08612,1
Kepler-560 b,-0.0491628894500799,-0.1227152091663114,-0.0054333962367598,-1.9589905016571771,-0.0198281281290884,-2.189304271393812,-0.4900125523669739,-2.1627004091249264,0.0471078624014497,1.57,188.15536,18.47764449,270.0,1.325,3387.0,0.3,0.3,-0.08612,1
Kepler-560 b,-0.0491628894500799,-0.1227152091663114,-0.0054333962367598,-1.9589905016571771,-0.0198281281290884,-2.189304271393812,-0.4900125523669739,-2.1627004091249264,0.0471078624014497,1.57,188.15536,18.47764449,270.0,1.325,3387.0,0.3,0.3,-0.08612,1
