pl_rade,pl_masse,pl_orbper,pl_orbsmax,pl_eqt,pl_dens,st_teff,st_lum,st_met,st_spectype
12.21781,2358.2986,1.51214,0.02691,,7.1,6040.0,,0.05,
11.410762,2437.7561,1.51214,0.02687,1936.0,9.0,6035.0,,0.05,
12.22,2415.4,1.51214,0.027,1952.0,7.3,6035.0,,0.05,F9 V
13.11453,168.13207,5.35227,0.0618,,0.41,5650.0,,0.19,
13.11,170.032,5.35227,0.0618,,0.44,5650.0,,0.19,G5 V
11.43318,765.9703,3.7681,0.0481,,2.81,5740.0,,0.0,
11.287463,781.8618,3.7681,0.0481,1610.0,3.0058,5740.0,,0.0,
11.43,772.29,3.7681,0.0461,1626.0,2.82,5740.0,,0.0,G2 V
14.68379,1099.6918,1.9000693,0.0295,,1.91,5440.0,,-0.1,
,,1.9000769,,,,5440.0,,-0.1,G9 V
14.68,1102.82,1.9000693,0.0295,1550.0,2.2,5440.0,,-0.1,G9 V
12.845514,1048.839,1.90009,0.0288,1487.0,2.73,,-0.17,,
15.04962078,,1.90008624739,,1366.35,,5440.0,,,
14.022459,1039.3041,1.9000693,0.0286,1490.0,2.07,5440.0,,-0.1,
,,3.897131,,,,6090.0,0.544,-0.02,F9 V
,,3.8971379,,,,6090.0,0.544,-0.02,F9 V
13.49322275,,3.89712026062,,1470.09,,6090.0,,,
14.46,352.78,3.89713,0.0518,2000.0,0.71,6090.0,0.544,-0.02,F9 V
13.33871,346.4347,3.89713,0.0512,1630.0,0.798,6090.0,,-0.02,
14.45961,367.09365,3.89713,0.05166,,0.668,6090.0,,-0.02,
16.42116,1051.973,1.7429964,0.0281,,,,,,
16.432,1102.82,1.7429935,0.02798,,1.47,5625.0,,,
,,1.74299673,,,,5529.0,-0.13055,-0.04,
,,1.74299906,,,,,,,
,,1.74299705,,,,5696.0,,0.03,
,,1.743,,,,,,,
16.36514,1134.6531,1.7429935,0.02835,1521.0,1.427,5598.0,,0.04,
16.47723,1150.5446,1.7429935,0.02854,1548.0,1.418,5696.0,,0.03,
16.533275,,1.74299609,,,,5575.0,,-0.04,
15.849526,1052.0173,1.7429975,,1535.0,1.553,5625.0,,0.0,
,,1.742997,,,,5696.0,,0.03,
16.92270968,,1.74301433466,,1409.55,,5529.0,,,
16.432394,1048.839,1.74299673,0.0281,,1.3,5625.0,,0.0,
15.39650566,,9.2432302936,,935.32,,5880.0,,,
11.209,1315.8162,9.24318,0.0891,1024.0,5.2,,0.17,,
9.41556,1344.4209,9.24285,0.0901,,8.9,5880.0,,0.14,
