planet_radius_earth,planet_mass_earth,orbital_period_days,semi_major_axis_AU,equilibrium_temp_K,planet_density,star_temp_K,star_luminosity,star_metallicity,star_type
2.3,154.306465,1667.0,2.28,797.0,1.33,4475.0,-0.0828599999999999,-0.48,K7 V
2.3,154.306465,74.2,0.3,797.0,1.33,4550.0,-0.8041,-0.35,G0 V
2.3,154.306465,714.29999,1.66,797.0,1.33,4545.0,-0.0828599999999999,-0.08,G0 V
2.3,154.306465,714.3,2.1,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,G0 V
2.3,154.306465,655.59998,1.34,797.0,1.33,4665.0,-0.0828599999999999,0.01,G0 V
2.3,154.306465,655.6,1.34,797.0,1.33,4714.0,-0.678,-0.03,K5 V
2.3,154.306465,1891.0,2.63,797.0,1.33,4051.0,-0.86967,0.12,K7 V
2.3,154.306465,6360.0,5.9,797.0,1.33,4051.0,-0.86967,0.12,K7 V
2.3,154.306465,547.0,1.444,797.0,1.33,6033.0,-0.0828599999999999,-0.02,G0 V
2.3,154.306465,25.2,0.17,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,G0 V
2.3,154.306465,1.508968772,0.10086,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,G0 V
2.3,154.306465,2.99427803,0.10086,797.0,1.33,6440.0,-0.0828599999999999,-0.03,F6 V
2.3,154.306465,10.3392924,0.10086,797.0,1.33,6343.0,-0.0828599999999999,0.04,G0 V
2.3,154.306465,2.828041,0.10086,797.0,1.33,5675.0,-0.0828599999999999,0.16,G0 V
2.3,154.306465,4.03515,0.10086,797.0,1.33,5945.0,-0.0828599999999999,0.01,G0 V
2.3,154.306465,1.9000769,0.10086,797.0,1.33,5440.0,-0.0828599999999999,-0.1,G9 V
2.3,154.306465,3.897131,0.10086,797.0,1.33,6090.0,0.544,-0.02,F9 V
2.3,154.306465,3.8971379,0.10086,797.0,1.33,6090.0,0.544,-0.02,F9 V
2.3,154.306465,1.74299673,0.10086,797.0,1.33,5529.0,-0.13055,-0.04,G0 V
2.3,154.306465,1.74299906,0.10086,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,G0 V
2.3,154.306465,1.74299705,0.10086,797.0,1.33,5696.0,-0.0828599999999999,0.03,G0 V
2.3,154.306465,1.743,0.10086,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,G0 V
2.3,154.306465,1.742997,0.10086,797.0,1.33,5696.0,-0.0828599999999999,0.03,G0 V
2.3,154.306465,1675.0,2.9,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,G0 V
2.3,154.306465,2.8505615,0.10086,797.0,1.33,5268.0,-0.09414,-0.0039,G0 V
2.3,154.306465,10.3392924,0.10086,797.0,1.33,6558.0,-0.0828599999999999,0.14,G0 V
2.3,154.306465,6.7183678,0.10086,797.0,1.33,5970.0,-0.1549,0.0,G0 VI
2.3,154.306465,4.0379156,0.10086,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,G0 V
2.3,154.306465,8.8866287,0.10086,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,G0 V
2.3,154.306465,95.272725,0.10086,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,G0 V
2.3,154.306465,4098.1,5.75,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,G0 V
2.3,154.306465,3.4982,0.04853,797.0,1.33,6400.0,0.45939,-0.007,F5-F8 V
2.3,154.306465,10220.0,8.19,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,G0 V
2.2,154.306465,28.1696,0.10086,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,G0 V
1.87,154.306465,28.1656,0.10086,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,G0 V
1.5,154.306465,0.72091,0.10086,797.0,1.33,5633.0,-0.0828599999999999,-0.053,G0 V
0.692,154.306465,2.13174,0.10086,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,G0 V
1.3,154.306465,0.877214,0.10086,797.0,1.33,5820.0,-0.0828599999999999,-0.01,G0 V
1.40575209,154.306465,0.877183,0.10086,797.0,1.33,5705.0,-0.0828599999999999,-0.01,G0 V
1.22,154.306465,3.80464,0.10086,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,G0 V
1.03,154.306465,2.71578,0.10086,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,G0 V
0.90819,154.306465,2.0478,0.0296,797.0,1.33,4520.0,-0.36351,-0.003,G0 V
1.48,154.306465,3.96165,0.10086,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,G0 V
1.0,154.306465,3.96151,0.10086,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,G0 V
1.04,154.306465,4.1698,0.035,797.0,1.33,5053.0,-0.0828599999999999,0.0,G0 V
1.41,154.306465,4.16888,0.10086,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,G0 V
1.1,154.306465,4.16959,0.10086,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,G0 V
1.18,154.306465,8.0468,0.10086,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,G0 V
1.62,154.306465,8.0516,0.10086,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,G0 V
1.7,154.306465,4.50756,0.10086,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,G0 V
1.44,154.306465,4.50717,0.10086,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,G0 V
1.4,154.306465,0.911724,0.10086,797.0,1.33,5724.0,-0.0828599999999999,-0.22,G0 V
1.35,154.306465,0.9116567,0.10086,797.0,1.33,5648.0,-0.0828599999999999,-0.0039,G0 V
1.16,154.306465,0.911618,0.10086,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,G0 V
2.94,154.306465,14.641541,0.10086,797.0,1.33,5648.0,-0.0828599999999999,-0.0039,G0 V
2.6,154.306465,14.647531,0.10086,797.0,1.33,5724.0,-0.0828599999999999,-0.22,G0 V
2.52,154.306465,14.6435,0.10086,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,G0 V
1.01,154.306465,2.87814,0.10086,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,G0 V
1.7,154.306465,5.2986,0.10086,797.0,1.33,4114.0,-0.0828599999999999,0.006,G0 V
1.62,154.306465,5.29711,0.10086,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,G0 V
3.32,154.306465,5.29853,0.10086,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,G0 V
1.2,154.306465,0.354884,0.10086,797.0,1.33,4114.0,-0.0828599999999999,0.006,G0 V
0.9,154.306465,2.25372,0.10086,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,G0 V
2.0,154.306465,2.25558,0.10086,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,G0 V
1.22,154.306465,1.58316,0.10086,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,G0 V
0.96,154.306465,1.58252,0.10086,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,G0 V
2.094,154.306465,17.515472,0.10086,797.0,1.33,4752.0,-0.0828599999999999,0.019,G0 V
2.15,154.306465,17.5125,0.10086,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,G0 V
2.63,154.306465,17.501662,0.10086,797.0,1.33,4749.0,-0.0828599999999999,-0.0039,G0 V
2.18,154.306465,21.1686,0.10086,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,G0 V
1.98,154.306465,21.169861,0.131,797.0,1.33,4148.21,-0.0828599999999999,-0.0039,G0 V
2.3,154.306465,19.491,0.10086,797.0,1.33,6128.0,0.37334,-0.0039,G0 V
2.3,154.306465,19.50735025,0.10086,797.0,1.33,6128.0,0.37334,-0.0039,G0 V
