Planet radius,Planet mass,Orbital period,Semi-major axis,Equilibrium temperature,Planet density,Host star temperature,Star luminosity,Star metallicity,Star type,habitability_score,orbital_stability
2.3,54.4738,44.4175,0.241376,797.0,1.33,5613.0,-0.08285999999999999,-0.0039,G0 V,4.914109365735888,184.01788081665117
2.3,51.2,44.3989,0.2373,797.0,1.33,5172.0,-0.08285999999999999,0.35,G0 V,4.985270416308197,187.1002949852507
2.3,52.44,44.3787,0.238,797.0,1.33,5250.0,-0.19695,0.35,G0 V,4.972876078041917,186.4651260504202
2.3,68.96911,43.93,0.24,797.0,1.33,5613.0,-0.08285999999999999,-0.0039,G0 V,4.9378620724396765,183.04166666666669
2.3,54.3486576,44.3827,0.2432,797.0,1.33,5317.89,-0.08285999999999999,0.3833,G0 V,4.883037511036166,182.49465460526315
2.3,908.98924402,4820.0,5.54,797.0,1.33,5317.89,-0.08285999999999999,0.3833,G0 V,0.9517008209354639,870.0361010830325
2.3,1232.493,4825.0,5.503,797.0,1.33,5613.0,-0.08285999999999999,-0.0039,G0 V,0.9529144681026475,876.7944757405052
2.3,918.49,4545.0,5.28,797.0,1.33,5613.0,-0.08285999999999999,-0.0039,G0 V,0.9605893451669485,860.7954545454545
2.3,1218.827,5218.0,5.77,797.0,1.33,5250.0,-0.19695,0.35,G0 V,0.9445056310763019,904.3327556325823
2.3,991.6,5574.2,5.957,797.0,1.33,5172.0,-0.08285999999999999,0.35,G0 V,0.9390651388601334,935.7394661742488
2.3,1287.2115,5360.0,5.9,797.0,1.33,5613.0,-0.08285999999999999,0.27,G8 V,0.9406869311967379,908.4745762711864
2.3,1243.35096,4517.4,5.257,797.0,1.33,5613.0,-0.08285999999999999,-0.0039,G0 V,0.9614179661686719,859.3113943313676
2.3,1121.89,4909.0,5.47,797.0,1.33,5250.0,-0.19695,0.35,G0 V,0.9540107622629542,897.4405850091408
2.3,1226.77,4867.0,5.446,797.0,1.33,5250.0,-0.19695,0.35,G0 V,0.9548164120161233,893.683437385237
2.3,1220.42,5370.0,5.84,797.0,1.33,5250.0,-0.19695,0.35,G0 V,0.9424282824853378,919.5205479452055
2.3,1214.10451474,4799.0,5.6,797.0,1.33,5198.0,-0.08285999999999999,0.39,G8 V,0.9497668343444376,856.9642857142858
2.08,7.81,0.7365437,0.01544,1958.0,4.78,5234.0,-0.08285999999999999,0.31,G0 V,65.69336410655949,47.70360751295337
2.3,8.13928,0.7365515,0.015690907,797.0,1.33,5613.0,-0.08285999999999999,-0.0039,G0 V,64.50237423437737,46.94129536297679
1.92,8.08,10.3392924,0.01544,797.0,6.3,5250.0,-0.19695,0.35,G0 V,65.85576053651971,669.6432901554404
2.3,191.96932,10.3392924,0.10086,797.0,1.33,5250.0,-0.19695,0.35,G0 V,10.685928699447409,102.51132659131468
1.897,7.74,0.737,0.10086,797.0,6.25,5172.0,-0.08285999999999999,0.35,G0 V,11.031525132000363,7.307158437438033
2.0,8.63,0.73654,0.01583,797.0,5.9,5613.0,-0.08285999999999999,-0.0039,G8 V,64.17315857210762,46.52811118130133
2.3,191.96932,0.73654604,0.10086,797.0,1.33,5613.0,-0.08285999999999999,-0.0039,G0 V,10.685928699447409,7.302657545112036
2.3,9.37593801,0.7365445,0.01583,797.0,1.33,5317.89,-0.08285999999999999,0.3833,G0 V,63.94238934133839,46.52839545167404
2.173,8.37,0.736546,0.01583,797.0,4.5,5250.0,-0.19695,0.35,G0 V,64.02567349111871,46.528490208464945
2.3,191.96932,0.7365417,0.10086,797.0,1.33,5613.0,-0.08285999999999999,-0.0039,G0 V,10.685928699447409,7.302614515169541
2.3,9.35,0.736546,0.016,797.0,1.33,5198.0,-0.08285999999999999,0.39,G8 V,63.27119540577301,46.034125
2.3,8.09479,0.7365478,0.015439,797.0,1.33,5250.0,-0.19695,0.35,G0 V,65.54222979919228,47.70696288619729
2.3,7.4687,2.79674,0.0377,797.0,1.33,5250.0,-0.19695,0.35,G0 V,27.296394344765055,74.1840848806366
2.3,14.30235,2.808,0.038,797.0,1.33,5613.0,-0.08285999999999999,-0.0039,G0 V,27.086984879457223,73.89473684210526
2.02311213,191.96932,0.73654625026,0.10086,1831.27,1.33,5250.0,-0.08285999999999999,-0.0039,G0 V,10.892791242055557,7.302659629783858
1.91,8.08,0.736539,0.01544,797.0,6.4,5250.0,-0.19695,0.35,G0 V,65.86770511368168,47.70330310880829
1.947,8.59,0.7365474,0.10086,797.0,6.421,5613.0,-0.08285999999999999,-0.0039,G0 V,10.97266413929795,7.302671029149315
1.875,7.99,0.7365474,0.01544,797.0,6.66,5172.0,-0.08285999999999999,0.35,G0 V,65.91166115763772,47.703847150259065
2.3,191.96932,0.73654625,0.10086,797.0,1.33,5234.0,-0.08285999999999999,0.31,G0 V,10.685928699447409,7.302659627206028
1.856,191.96932,0.736543,0.10086,797.0,1.33,5272.0,-0.08285999999999999,0.37,G0 V,11.08492222928206,7.3026274043228225
2.3,44.812,260.7,0.775,797.0,1.33,5250.0,-0.19695,0.35,G0 V,2.0615179864181705,336.38709677419354
2.3,44.812,262.0,0.788,797.0,1.33,5613.0,-0.08285999999999999,-0.0039,G0 V,2.040230938767933,332.48730964467006
2.3,54.664,261.2,0.77,797.0,1.33,5250.0,-0.19695,0.35,G0 V,2.0698967044743077,339.2207792207792
2.3,45.766,260.0,0.781,797.0,1.33,5250.0,-0.19695,0.35,G0 V,2.051605136886965,332.9065300896287
2.3,47.0051,260.91,0.7733,797.0,1.33,5250.0,-0.19695,0.35,G0 V,2.064354593669039,337.39816371395324
2.3,46.87969003,260.98,0.792,797.0,1.33,5317.89,-0.08285999999999999,0.3833,G0 V,2.0338216683992716,329.520202020202
2.3,47.8,259.88,0.7708,797.0,1.33,5172.0,-0.08285999999999999,0.35,G0 V,2.0685488048389145,337.1562013492475
2.3,48.5,260.58,0.802,797.0,1.33,5198.0,-0.08285999999999999,0.39,G8 V,2.018078198790465,324.9127182044887
2.3,762.8,899.0,2.2,797.0,1.33,4978.0,1.176,-0.13,K0 IV,1.2257408603184636,408.6363636363636
2.3,702.4043,874.774,2.18,797.0,1.33,5613.0,-0.08285999999999999,-0.0039,G0 V,1.2299110021032842,401.27247706422014
2.3,638.8383,934.3,2.11,797.0,1.33,4938.0,-0.08285999999999999,-0.0039,G0 V,1.2451290550621086,442.7962085308057
2.3,597.83523357,919.86,2.028,797.0,1.33,4941.0,1.1186,-0.17,K0 IV,1.26429205271581,453.57988165680473
2.3,5.1,4.215,0.050201,797.0,1.33,5577.0,-0.095,-0.01,G5 V,20.69111731967911,83.96247086711419
2.3,5.11703735,4.21487,0.04956,797.0,1.33,5585.57,-0.08285999999999999,0.0275,G0 V,20.948757956216916,85.04580306698952
2.3,18.2,38.021,0.2175,797.0,1.33,5577.0,-0.095,-0.01,G5 V,5.368896555198296,174.80919540229885
2.3,16.11390023,38.0957,0.2151,797.0,1.33,5585.57,-0.08285999999999999,0.0275,G0 V,5.420195870673055,177.1069270106927
2.3,22.9,123.01,0.476,797.0,1.33,5577.0,-0.095,-0.01,G5 V,2.872035741907463,258.42436974789916
2.3,587.9855,735.1,1.758,797.0,1.33,4826.0,1.06258,0.21,G0 V,1.3400236196524173,418.1456200227531
2.3,781.8618,796.0,1.93,797.0,1.33,4794.52,-0.08285999999999999,0.0882,G0 V,1.2893301207989158,412.43523316062175
2.3,616.5,10.3392924,1.8,797.0,1.33,5613.0,1.121,-0.0039,G0 V,1.3267509613285646,5.744051333333333
2.3,826.3,763.0,1.9,797.0,1.33,4792.0,1.053,0.21,K1 III,1.2975111952466931,401.5789473684211
2.3,289.9,10.3392924,2.205,797.0,1.33,5613.0,1.121,-0.0039,G0 V,1.224710145002034,4.689021496598639
2.3,276.5121,996.0,2.153,797.0,1.33,4826.0,1.06258,0.21,G0 V,1.2356635897024097,462.61031119368323
2.3,2351.942,116.6926,0.481,797.0,1.33,5439.0,0.4513,-0.09,G0 V,2.850197484775088,242.60415800415802
2.3,2297.89938261,116.69335,0.4765,797.0,1.33,5481.86,-0.08285999999999999,-0.0402,G0 V,2.8698312924466713,244.89685204616998
2.3,2357.02728,116.688,0.481,797.0,1.33,5495.0,-0.08285999999999999,-0.0039,G0 V,2.850197484775088,242.5945945945946
2.3,2084.88,116.689,0.456,797.0,1.33,5613.0,-0.08285999999999999,-0.0039,G0 V,2.9641778619133596,255.89692982456137
2.3,2421.8646,116.6884,0.48,797.0,1.33,5531.0,-0.08285999999999999,-0.06,G0 V,2.8545287391063425,243.10083333333336
2.3,2380.45,116.6884,0.484,797.0,1.33,5545.0,-0.08285999999999999,-0.012,G0 V,2.837311108252348,241.0917355371901
2.3,953.49,691.9,2.1,797.0,1.33,4846.0,1.73,0.0,G3 III,1.2473858819634853,329.4761904761904
2.3,787.89662095,696.62,1.912,797.0,1.33,4809.0,1.7145,0.1,G3 III,1.2942079580742643,364.3410041841004
2.3,289.85950718,2051.62,3.929,797.0,1.33,4809.0,1.7145,0.1,G3 III,1.0257130947523931,522.173581063884
2.3,524.41687155,93.31,0.462,797.0,1.33,4847.0,1.72346,-0.03,G0 V,2.9356975702751735,201.96969696969697
2.3,476.745,93.4,0.49,797.0,1.33,4847.4,-0.08285999999999999,-0.03,K0,2.8120117323036213,190.6122448979592
2.3,416.3573,93.4,0.49,797.0,1.33,4847.0,-0.08285999999999999,-0.03,G0 V,2.8120117323036213,190.6122448979592
2.3,1274.4,10.3392924,2.17,797.0,1.33,5613.0,-0.08285999999999999,-0.0039,G0 V,1.2320248988605667,4.764650875576037
2.3,1051.05854195,1005.57,2.104,797.0,1.33,4734.0,1.76027,-0.11,G5 III,1.2464805768756706,477.9325095057034
2.3,1684.4,952.7,2.5,797.0,1.33,4785.0,1.778,-0.06,G5 III,1.171195405773009,381.08000000000004
2.3,1017.0,181.4,0.7,797.0,1.33,4665.0,-0.08285999999999999,-0.03,K0 III,2.1997668343444374,259.14285714285717
2.3,2860.455663,10.3392924,93.9,797.0,1.33,9770.0,1.77085,-0.0039,G0 V,0.7818450330360548,0.11010961022364216
2.3,4290.5,10.3392924,260.0,797.0,1.33,5613.0,-0.08285999999999999,-0.0039,K2 V,0.7750415596191629,0.03976650923076923
2.3,1664.46736746,7520.0,7.99,1400.0,1.33,6100.0,-0.08285999999999999,-0.0039,F8 V,0.8952864953632551,941.1764705882352
2.3,1017.0509024,8030.0,8.4,797.0,1.33,6130.0,-0.08285999999999999,0.19,F8 V,0.8902430248206281,955.952380952381
2.3,1147.36054927,8905.0,8.996,797.0,1.33,5613.0,-0.08285999999999999,-0.0039,F8,0.8823559215578023,989.8843930635837
2.3,1366.6621501,9060.0,9.3,797.0,1.33,6140.0,-0.08285999999999999,-0.0039,F8 V,0.8787222874934392,974.1935483870967
2.3,425.89006538,4168.69,4.01,797.0,1.33,3680.0,-0.08285999999999999,-0.0039,M V,1.0205719643765003,1039.573566084788
2.3,191.96932,8.46321,0.10086,797.0,1.33,5613.0,-0.08285999999999999,-0.0039,G0 V,10.685928699447409,83.91046995835812
2.3,20.12,8.4629991,0.0645,797.0,1.32,5613.0,-0.08285999999999999,-0.0039,G0 V,16.275071374765258,131.209288372093
2.3,11.7,8.463,0.10086,797.0,0.97,3700.0,-1.04576,-0.0039,G0 V,10.685928699447409,83.90838786436643
2.3,6.1,8.463446,0.10086,797.0,1.33,3665.0,-0.99,0.12,G0 V,10.685928699447409,83.91280983541542
2.3,10.2,8.4631427,0.10086,797.0,1.33,3665.0,-0.99,0.12,G0 V,10.685928699447409,83.90980269680746
2.3,17.1,8.46321,0.10086,797.0,1.3,3700.0,-1.04576,-0.0039,M1,10.685928699447409,83.91046995835812
2.79,191.96932,18.858982,0.11,797.0,1.33,5613.0,-0.08285999999999999,-0.0039,G0 V,9.651532945328427,171.44529090909091
2.3,9.6,18.858991,0.1101,797.0,1.22,5613.0,-0.08285999999999999,-0.0039,G0 V,9.85384754019626,171.28965485921887
2.52202066,191.96932,18.85969,0.1108,459.0,1.33,3678.0,-1.0381,0.23,G0 V,9.688140016161617,170.21380866425994
2.3,11.6,18.859018,0.10086,797.0,1.33,3665.0,-0.99,0.12,G0 V,10.685928699447409,186.98213365060477
2.3,22.2,18.859019,0.10086,797.0,3.66,3700.0,-1.04576,-0.0039,G0 V,10.685928699447409,186.98214356533808
3.24,13.6,18.859019,0.1101,454.0,2.3,3700.0,-0.08285999999999999,-0.0039,G0 V,9.535104802237365,171.28990917347866
2.3,14.2,18.85882,0.10086,797.0,1.33,3665.0,-0.99,0.12,G0 V,10.685928699447409,186.98017053341266
2.3,1.053,12.73596,0.10086,797.0,1.33,3678.0,-1.0381,0.23,G0 V,10.685928699447409,126.2736466389054
2.3,21.1,33.11,0.10086,797.0,1.33,3665.0,-0.99,0.12,G0 V,10.685928699447409,328.27681935355935
2.3,35.2,33.39,0.10086,797.0,1.33,3665.0,-0.99,0.12,G0 V,10.685928699447409,331.0529446757882
2.3,2034.112,481.9,1.3,797.0,1.33,4095.0,2.7,-0.71,G0 V,1.5404261750037782,370.6923076923077
2.3,6.2,1.271869,0.0208,1820.0,1.33,4596.0,-0.7167,-0.05,K V,48.84680658766821,61.14754807692307
2.3,330.5432,268.94,0.78,797.0,1.33,4864.0,-0.08285999999999999,0.17,G0 V,2.053246687824291,344.79487179487177
2.3,467.19,268.94,0.777,797.0,1.33,5008.0,-0.32,0.1,K2 V,2.0581966927742963,346.1261261261261
2.3,337.21763,153.22,0.576,797.0,1.33,4649.0,1.57,-0.22,G0 V,2.50730651688412,266.00694444444446
2.3,352.78,137.48,0.539,797.0,1.33,4796.0,2.01,0.28,K0,2.626482975346293,255.06493506493504
2.3,6807.63,379.63,1.45,797.0,1.33,4137.0,3.17,-1.0,K2 II,1.4608505781868022,261.8137931034483
2.3,17668.1697,379.63,1.05,797.0,1.33,4259.0,-0.08285999999999999,-0.79,G0 V,1.7235763581539614,361.55238095238093
2.3,3963.17,621.99,2.01,797.0,1.33,4137.0,3.17,-1.0,K2 II,1.2687078435839543,309.4477611940299
2.3,1334.886,578.2,1.3,797.0,1.33,4296.0,1.96,-0.46,K5 III,1.5404261750037782,444.7692307692308
2.57807,22.2481,41.6855,0.10086,797.0,1.33,5766.0,-0.08285999999999999,-0.15,G0 V,10.550383381432365,413.30061471346414
2.35545351,191.96932,41.688644,0.10086,797.0,1.33,5703.0,-0.08285999999999999,-0.06,G0 V,10.654458386493742,413.3317866349395
2.23,16.3,41.6855,0.241,546.0,7.89,5766.0,-0.05552,-0.15,G,4.966261692434545,172.9688796680498
2.3,3368.9811142,1887.76,4.65,797.0,1.33,4500.0,2.84,-0.03,G0 V,0.9862491692138693,405.96989247311825
2.3,174.80562385,123.05,0.54,797.0,1.33,4500.0,1.99,-0.2,G0 V,2.6230472576248607,227.87037037037035
2.3,432.24663352,307.88,0.83,797.0,1.33,5004.0,-0.08285999999999999,-0.09,K1,1.9760146828814429,370.9397590361446
2.3,289.2253,392.6,1.0,797.0,1.33,4414.0,1.69,-0.2,K0 III,1.771195405773009,392.6
2.3,540.311,733.0,1.7,797.0,1.33,4534.0,1.64,-0.13,G0 V,1.3594306998906562,431.1764705882353
2.3,508.5,2590.0,4.2,797.0,1.33,4943.0,1.47,-0.19,K0,1.0092906438682472,616.6666666666666
2.3,228.83645304,265.59,0.78,797.0,1.33,5012.0,-0.08285999999999999,0.18,K3,2.053246687824291,340.49999999999994
2.3,1258.60049172,1198.48,2.06,797.0,1.33,5000.0,-0.08285999999999999,-0.09,K0,1.2566322989768925,581.7864077669902
