pl_name,hostname,pl_rade,pl_orbper,pl_orbsmax,pl_eqt,st_teff,st_rad,st_mass,st_met,disc_year,discoverymethod,default_flag
55 Cnc e,55 Cnc,1.856,0.736543,0.10086,797.0,5272.0,0.943,0.905,0.37,2004,Radial Velocity,0
55 Cnc f,55 Cnc,2.3,260.7,0.775,797.0,5250.0,0.963515,0.9,0.35,2007,Radial Velocity,0
55 Cnc f,55 Cnc,2.3,262.0,0.788,797.0,5613.0,0.951815,0.95,-0.0039,2007,Radial Velocity,0
55 Cnc f,55 Cnc,2.3,261.2,0.77,797.0,5250.0,0.963515,0.9,0.35,2007,Radial Velocity,0
55 Cnc f,55 Cnc,2.3,260.0,0.781,797.0,5250.0,0.963515,0.9,0.35,2007,Radial Velocity,0
55 Cnc f,55 Cnc,2.3,260.91,0.7733,797.0,5250.0,0.963515,0.9,0.35,2007,Radial Velocity,0
55 Cnc f,55 Cnc,2.3,260.98,0.792,797.0,5317.89,0.964411,0.974708,0.3833,2007,Radial Velocity,0
55 Cnc f,55 Cnc,2.3,259.88,0.7708,797.0,5172.0,0.943,0.905,0.35,2007,Radial Velocity,0
55 Cnc f,55 Cnc,2.3,260.58,0.802,797.0,5198.0,0.98,1.015,0.39,2007,Radial Velocity,1
6 Lyn b,6 Lyn,2.3,899.0,2.2,797.0,4978.0,5.2,1.7,-0.13,2008,Radial Velocity,0
6 Lyn b,6 Lyn,2.3,874.774,2.18,797.0,5613.0,5.2,1.82,-0.0039,2008,Radial Velocity,0
6 Lyn b,6 Lyn,2.3,934.3,2.11,797.0,4938.0,5.2,1.44,-0.0039,2008,Radial Velocity,0
6 Lyn b,6 Lyn,2.3,919.86,2.028,797.0,4941.0,4.94,1.32,-0.17,2008,Radial Velocity,1
61 Vir b,61 Vir,2.3,4.215,0.050201,797.0,5577.0,0.963,0.942,-0.01,2009,Radial Velocity,1
61 Vir b,61 Vir,2.3,4.21487,0.04956,797.0,5585.57,1.03251,0.914072,0.0275,2009,Radial Velocity,0
61 Vir c,61 Vir,2.3,38.021,0.2175,797.0,5577.0,0.963,0.942,-0.01,2009,Radial Velocity,1
61 Vir c,61 Vir,2.3,38.0957,0.2151,797.0,5585.57,1.03251,0.914072,0.0275,2009,Radial Velocity,0
61 Vir d,61 Vir,2.3,123.01,0.476,797.0,5577.0,0.963,0.942,-0.01,2009,Radial Velocity,1
7 CMa b,7 CMa,2.3,735.1,1.758,797.0,4826.0,4.87,1.34,0.21,2011,Radial Velocity,1
7 CMa b,7 CMa,2.3,796.0,1.93,797.0,4794.52,4.90843,0.959,0.0882,2011,Radial Velocity,0
7 CMa b,7 CMa,2.3,10.3392924,1.8,797.0,5613.0,5.198,1.439,-0.0039,2011,Radial Velocity,0
7 CMa b,7 CMa,2.3,763.0,1.9,797.0,4792.0,2.3,1.52,0.21,2011,Radial Velocity,0
