rank,planet_name,star_system,habitability_probability,habitability_score,predicted_habitable,actual_label,discovery_year
12646,HATS-27 b,HATS-27,0.0008556744432742751,0.08556744432742751,0,0,2016
12647,Kepler-74 b,Kepler-74,0.0008556001590047177,0.08556001590047177,0,0,2013
12648,TOI-3912 b,TOI-3912,0.0008553706809473567,0.08553706809473567,0,0,2023
12649,Kepler-8 b,Kepler-8,0.0008553329878016474,0.08553329878016475,0,0,2010
12650,Kepler-8 b,Kepler-8,0.0008553329878016474,0.08553329878016475,0,0,2010
12651,Kepler-8 b,Kepler-8,0.0008553329878016474,0.08553329878016475,0,0,2010
12652,WASP-87 b,WASP-87,0.0008552080494532482,0.08552080494532482,0,0,2016
12653,TOI-4487 A b,TOI-4487 A,0.0008549807240463127,0.08549807240463127,0,0,2025
12654,Kepler-5 b,Kepler-5,0.0008547778211847439,0.0854777821184744,0,0,2009
12655,Kepler-40 b,Kepler-40,0.0008547622958815197,0.08547622958815197,0,0,2010
12656,Kepler-40 b,Kepler-40,0.0008547622958815197,0.08547622958815197,0,0,2010
12657,Kepler-40 b,Kepler-40,0.0008547622958815197,0.08547622958815197,0,0,2010
12658,TOI-6029 b,TOI-6029,0.0008547502826355687,0.08547502826355688,0,0,2024
12659,TOI-2046 b,TOI-2046,0.000854649803604509,0.0854649803604509,0,0,2022
12660,Kepler-74 b,Kepler-74,0.0008545822908134507,0.08545822908134507,0,0,2013
12661,Kepler-74 b,Kepler-74,0.0008545822908134507,0.08545822908134507,0,0,2013
12662,Kepler-74 b,Kepler-74,0.0008545822908134507,0.08545822908134507,0,0,2013
12663,TOI-3807 b,TOI-3807,0.0008541800753053665,0.08541800753053665,0,0,2023
12664,Kepler-8 b,Kepler-8,0.0008539026066863544,0.08539026066863543,0,0,2010
12665,TOI-150.01,TOI-150.01,0.0008538135978733215,0.08538135978733215,0,0,2019
12666,XO-3 b,XO-3,0.0008537907842842811,0.08537907842842811,0,0,2007
12667,Qatar-3 b,Qatar-3,0.0008537798767757065,0.08537798767757065,0,0,2017
12668,TOI-157 b,TOI-157,0.0008535791562563379,0.08535791562563379,0,0,2020
12669,KELT-24 b,KELT-24,0.0008532895543582389,0.08532895543582389,0,0,2019
12670,WASP-133 b,WASP-133,0.0008532106502956762,0.08532106502956763,0,0,2016
12671,TOI-2420 b,TOI-2420,0.0008525202181776789,0.08525202181776789,0,0,2024
12672,TOI-2154 b,TOI-2154,0.000852507414169717,0.0852507414169717,0,0,2023
12673,TOI-3682 b,TOI-3682,0.0008521445823711602,0.08521445823711601,0,0,2025
12674,Kepler-762 b,Kepler-762,0.0008521378412658473,0.08521378412658473,0,0,2016
12675,TOI-1333 b,TOI-1333,0.0008520051570743818,0.08520051570743818,0,0,2021
12676,KELT-15 b,KELT-15,0.0008519981071890153,0.08519981071890154,0,0,2016
12677,HAT-P-56 b,HAT-P-56,0.0008518168068514567,0.08518168068514567,0,0,2015
12678,KELT-2 A b,KELT-2 A,0.0008515987594878161,0.08515987594878162,0,0,2012
12679,TOI-4487 A b,TOI-4487 A,0.0008514475489053688,0.08514475489053688,0,0,2025
12680,XO-7 b,XO-7,0.000851400294229431,0.08514002942294309,0,0,2019
12681,TOI-778 b,TOI-778,0.0008510890090495117,0.08510890090495117,0,0,2023
12682,KELT-20 b,KELT-20,0.0008510179718880925,0.08510179718880925,0,0,2017
12683,WASP-197 b,WASP-197,0.000850962997444578,0.0850962997444578,0,0,2025
12684,WASP-108 b,WASP-108,0.0008509520080689208,0.08509520080689209,0,0,2020
12685,TOI-2152 A b,TOI-2152 A,0.000850887485585561,0.0850887485585561,0,0,2023
12686,WASP-197 b,WASP-197,0.0008507965078628851,0.08507965078628851,0,0,2025
12687,WASP-116 b,WASP-116,0.0008506815952092801,0.08506815952092801,0,0,2025
12688,HD 202772 A b,HD 202772 A,0.0008505312528746988,0.08505312528746987,0,0,2019
12689,TOI-2803 A b,TOI-2803 A,0.0008503800913152507,0.08503800913152507,0,0,2023
12690,TOI-1516 b,TOI-1516,0.000849693164137279,0.0849693164137279,0,0,2022
12691,TOI-3160 A b,TOI-3160 A,0.0008496331053803839,0.08496331053803839,0,0,2025
12692,Kepler-1658 b,Kepler-1658,0.0008495451978529172,0.08495451978529171,0,0,2019
12693,WASP-188 b,WASP-188,0.0008488147524722609,0.08488147524722608,0,0,2025
12694,HAT-P-57 b,HAT-P-57,0.0008482844936200638,0.08482844936200638,0,0,2015
12695,Kepler-1658 b,Kepler-1658,0.0008481982305099594,0.08481982305099595,0,0,2019
12696,Kepler-1658 b,Kepler-1658,0.0008481982305099594,0.08481982305099595,0,0,2019
12697,Kepler-1658 b,Kepler-1658,0.0008481982305099594,0.08481982305099595,0,0,2019
12698,TOI-3819 b,TOI-3819,0.0008480411821026396,0.08480411821026396,0,0,2023
12699,TOI-3321 b,TOI-3321,0.0008480321698667263,0.08480321698667263,0,0,2024
12700,CoRoT-5 b,CoRoT-5,0.0008471879915078531,0.08471879915078531,0,0,2009
12701,WASP-71 b,WASP-71,0.0008471123679184925,0.08471123679184925,0,0,2012
12702,HATS-67 b,HATS-67,0.0008470304868600034,0.08470304868600034,0,0,2018
12703,WASP-79 b,WASP-79,0.0008466334608430503,0.08466334608430504,0,0,2012
12704,Kepler-435 b,Kepler-435,0.0008465970624917567,0.08465970624917567,0,0,2015
12705,TOI-4603 b,TOI-4603,0.0008457678136566695,0.08457678136566694,0,0,2023
12706,HATS-68 b,HATS-68,0.0008457199502969151,0.08457199502969151,0,0,2018
12707,TOI-1789 b,TOI-1789,0.0008456017598866588,0.08456017598866587,0,0,2021
12708,TOI-2796 b,TOI-2796,0.0008453155499156043,0.08453155499156043,0,0,2023
12709,KELT-3 b,KELT-3,0.0008453013170924897,0.08453013170924896,0,0,2013
12710,WASP-63 b,WASP-63,0.0008451420586210375,0.08451420586210374,0,0,2012
12711,WASP-13 b,WASP-13,0.0008450379066350426,0.08450379066350426,0,0,2009
12712,TOI-1431 b,TOI-1431,0.0008449655192128832,0.08449655192128833,0,0,2021
12713,TOI-5386 A b,TOI-5386 A,0.0008448397449083106,0.08448397449083106,0,0,2025
12714,WASP-176 b,WASP-176,0.0008447249238006171,0.08447249238006171,0,0,2020
12715,Kepler-5 b,Kepler-5,0.0008446845877217842,0.08446845877217841,0,0,2009
12716,K2-237 b,K2-237,0.0008446656082347909,0.08446656082347909,0,0,2018
12717,WASP-170 b,WASP-170,0.0008446375035761341,0.08446375035761342,0,0,2018
12718,HD 2685 b,HD 2685,0.0008446065030385643,0.08446065030385642,0,0,2019
12719,KELT-16 b,KELT-16,0.0008445621602619675,0.08445621602619675,0,0,2017
12720,XO-6 b,XO-6,0.0008442627693153075,0.08442627693153075,0,0,2016
12721,HATS-40 b,HATS-40,0.000844235918979918,0.0844235918979918,0,0,2018
12722,TOI-4137 b,TOI-4137,0.0008441948253364126,0.08441948253364126,0,0,2022
12723,Kepler-74 b,Kepler-74,0.0008440865423159378,0.08440865423159377,0,0,2013
12724,WASP-185 b,WASP-185,0.0008439962737721194,0.08439962737721195,0,0,2019
12725,Kepler-40 b,Kepler-40,0.000843726193744445,0.0843726193744445,0,0,2010
12726,TOI-1431 b,TOI-1431,0.0008435610980054595,0.08435610980054595,0,0,2021
12727,HAT-P-58 b,HAT-P-58,0.0008427645129123719,0.08427645129123719,0,0,2021
12728,Kepler-493 b,Kepler-493,0.0008419892230708164,0.08419892230708163,0,0,2016
12729,WASP-102 b,WASP-102,0.0008416333711689575,0.08416333711689575,0,0,2025
12730,NGTS-27 b,NGTS-27,0.0008411872765814584,0.08411872765814585,0,0,2024
12731,Kepler-5 b,Kepler-5,0.0008411501348168603,0.08411501348168603,0,0,2009
12732,Kepler-5 b,Kepler-5,0.0008411501348168603,0.08411501348168603,0,0,2009
12733,Kepler-5 b,Kepler-5,0.0008411501348168603,0.08411501348168603,0,0,2009
12734,WASP-33 b,WASP-33,0.000841128396165931,0.0841128396165931,0,0,2010
