pl_rad,pl_mass,pl_orbper,pl_sma,pl_ecc,st_temp,st_met,st_rad,st_age,st_mass,habitable,predicted_habitability_score,habitability_score
2.58,11.02,7.685,0.11415,0.09,4413.0,0.02,0.667,4.17,0.681,1,0.9966666666666668,1.0
1.56,176.0769375,3.793306,0.11415,0.09,3669.0,-0.04,0.41,4.17,0.43,1,1.0,1.0
2.43818351,114.41,92.086427889875,1.24,0.14,4462.0,-0.24,0.53,4.3,0.585,1,1.0,1.0
2.43818351,994.8029139,92.086427889875,1.091,0.5305,4664.0,-0.19,1.9420000000000004,4.17,1.0,1,0.9966666666666668,1.0
2.43818351,1728.9864384999996,92.086427889875,1.5,0.27,4348.0,-0.17,1.9420000000000004,1.8,1.5950000000000002,1,1.0,1.0
1.7,176.0769375,5.2986,0.11415,0.09,4114.0,0.006,0.5,4.17,0.948,1,1.0,1.0
1.2,176.0769375,0.354884,0.11415,0.09,4114.0,0.006,0.5,4.17,0.948,1,0.9933333333333332,1.0
2.17,176.0769375,11.35011917,0.11415,0.09,4027.0,-0.12,0.57,3.16,0.59,1,1.0,1.0
2.09,176.0769375,19.850291,0.118,0.33,3740.0,-0.08,0.48,4.17,0.498,1,1.0,1.0
1.64,176.0769375,9.7579,0.0774,0.09,4079.0,-0.11,0.632,4.17,0.65,1,1.0,1.0
0.69,176.0769375,4.655411,0.048,0.06,4348.35,0.02,0.6694,4.17,0.694512,1,1.0,1.0
2.39,8.04,12.252284,0.0757,0.024,3442.0,0.06,0.38,3.1,0.381,1,1.0,1.0
1.325,2.46,0.76837931,0.01195,0.0,3442.0,0.06,0.38,3.1,0.381,1,1.0,1.0
0.61,8.0,0.1768913,0.11415,0.09,3584.0,0.0,0.45,4.17,0.46,1,1.0,1.0
1.73,176.0769375,6.9226,0.0616,0.09,4079.0,-0.11,0.632,4.17,0.65,1,1.0,1.0
2.9,176.0769375,6.413651,0.049,0.09,3570.0,0.023,0.388,4.17,0.39,1,1.0,1.0
1.147,1.54,3.1239035,0.02661,0.223,3442.0,-0.34,0.265,4.17,0.2749999999999999,1,1.0,1.0
1.21,176.0769375,20.837846,0.128,0.09,4500.0,0.02,0.595,4.17,0.948,1,1.0,1.0
1.367,25.3,8.457463,0.03984,0.09,3442.0,-0.028,0.1556,7.2,0.2749999999999999,1,0.9966666666666668,1.0
1.47286006,176.0769375,0.961939,0.01575,0.38,3690.0,-0.02,0.578,4.17,0.563,1,0.9966666666666668,1.0
2.586,176.0769375,13.603,0.098,0.2,4684.0,-0.137,0.673,4.17,0.69,1,0.9966666666666668,1.0
1.16,176.0769375,6.827766,0.058,0.09,4204.0,0.02,0.52,4.17,0.948,1,1.0,1.0
2.0,176.0769375,5.8416366,0.0521,0.33,3740.0,-0.08,0.48,4.17,0.498,1,1.0,1.0
1.32,13.2,2.7299025,0.01875,0.09,3442.0,-0.028,0.1556,7.2,0.2749999999999999,1,1.0,1.0
2.26,176.0769375,11.02347475,0.11415,0.09,3768.0,0.11,0.53,5.89,0.55,1,1.0,1.0
2.438,7.1,4.9899093,0.02961,8e-05,3442.0,-0.09,0.182,0.5,0.2749999999999999,1,1.0,1.0
2.43,176.0769375,3.908632005,0.11415,0.09,4601.0,-0.01,0.69,4.68,0.73,1,0.9966666666666668,1.0
2.0,176.0769375,11.41928253,0.11415,0.09,4435.0,-0.17,0.63,3.55,0.67,1,1.0,1.0
1.26,176.0769375,5.188549,0.053,0.09,4605.0,0.02,0.667,4.17,0.948,1,1.0,1.0
2.19,7.49,4.00498,0.11415,0.075,3442.0,0.02,0.33,5.0,0.331,1,1.0,1.0
0.991,176.0769375,2.029088,0.11415,0.09,3442.0,0.02,0.2789,4.17,0.2749999999999999,1,1.0,1.0
1.303,176.0769375,0.46292913,0.00622,0.09,3442.0,0.02,0.189,4.17,0.2749999999999999,1,1.0,1.0
2.43818351,13.15,3.71778,0.02262,0.076,3442.0,0.02,0.1405,5.0,0.2749999999999999,1,1.0,1.0
2.05,5.77,2.6446,0.11415,0.129,3442.0,0.02,0.33,5.0,0.331,1,1.0,1.0
1.088,1.58,3.814334,0.11415,0.0,3643.0,-0.12,0.501,4.17,0.502,1,1.0,1.0
0.981,176.0769375,4.9652229,0.04,0.036,3490.0,0.02,0.329,7.0,0.345,1,1.0,1.0
0.941,176.0769375,3.694284,0.0327,0.039,3490.0,0.02,0.329,7.0,0.345,1,1.0,1.0
2.43818351,2.5,2.30538,0.02279,0.09,3442.0,0.1,0.305,4.17,0.297,1,0.9966666666666668,1.0
2.43818351,3.75,8.0518,0.0525,0.09,3442.0,0.1,0.305,4.17,0.297,1,1.0,1.0
1.32,176.0769375,1.682696148,0.11415,0.09,3712.0,-0.07,0.48,3.98,0.51,1,1.0,1.0
1.9,4.0,5.7459982,0.0418,0.0,3442.0,-0.07,0.3026,4.17,0.2952,1,1.0,1.0
2.43818351,1.08,10.3465,0.0457,0.09,3442.0,-0.25,0.137,4.17,0.2749999999999999,1,1.0,1.0
2.43818351,1.36,21.202,0.0738,0.09,3442.0,-0.25,0.137,4.17,0.2749999999999999,1,1.0,1.0
2.43818351,1.37,3.204,0.021,0.31,3442.0,-0.08,0.156,7.0,0.2749999999999999,1,0.9966666666666668,1.0
2.43818351,1.74,6.689,0.035,0.29,3442.0,-0.08,0.156,7.0,0.2749999999999999,1,0.9966666666666668,1.0
2.43818351,1.64,13.031,0.054,0.53,3442.0,-0.08,0.156,7.0,0.2749999999999999,1,1.0,1.0
1.19151465,1.83704819,1.62892911,0.0157,0.0118,3442.0,-0.17,0.2211,4.17,0.2749999999999999,1,1.0,1.0
2.579,9.77,7.2,0.11415,0.09,4095.6,0.02,0.618,4.17,0.607,1,1.0,1.0
2.43818351,96.7,41.38,0.166,0.38,3442.0,0.02,0.358519,4.17,0.344045,1,0.9966666666666668,1.0
2.43818351,68.06,92.086427889875,0.912,0.342,3442.0,0.02,0.358519,4.17,0.344045,1,0.9966666666666668,1.0
1.21,176.0769375,0.9867873,0.0175,0.09,4540.0,0.04,0.678,2.0,0.73,1,0.9966666666666668,1.0
2.733,8.41,1.580404531,0.01505,0.0062,3442.0,0.24,0.2162,4.17,0.2749999999999999,1,1.0,1.0
